# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.499428884805e-10       7.326381232861e-15       4.832724734038e-13       2.821584593062e-19       8.974098164535e-09       4.917963747190e-10      -2.516745968612e-12 
    3       1.415186177786e-10       1.241502355359e-14       6.090360357208e-13       5.645648612997e-19       5.520873282335e-09       3.514416350262e-10      -2.215282621462e-12 
    4       1.332234470644e-10       1.450428383991e-14       6.310338408584e-13       9.414840255327e-19       3.844253348396e-09       2.680909853358e-10      -1.768366740169e-12 
    5       1.267001171398e-10       1.342220588895e-14       5.919537436645e-13       1.413223500136e-18       2.874038377462e-09       2.131206200766e-10      -1.313589446157e-12 
    6       1.219560493740e-10       1.036630326427e-14       5.218376194655e-13       1.980148645608e-18       2.248348188233e-09       1.743058256130e-10      -8.985770127231e-13 
    7       1.186911759538e-10       6.880243150090e-15       4.411511079533e-13       2.642671027874e-18       1.816431213808e-09       1.456027491251e-10      -5.476491197786e-13 
    8       1.165874411727e-10       4.074300661884e-15       3.622503048497e-13       3.401235540841e-18       1.503086186882e-09       1.236388078791e-10      -2.717219979968e-13 
    9       1.153954680925e-10       2.360912926434e-15       2.925234855251e-13       4.256306759913e-18       1.266902613385e-09       1.063771462099e-10      -7.251068517749e-14 
   10       1.148979962869e-10       1.589488804684e-15       2.361684933646e-13       5.208355055972e-18       1.083583199500e-09       9.255180552492e-11       5.527998638188e-14 
   11       1.149580877205e-10       1.359042491621e-15       1.949457944877e-13       6.257843005934e-18       9.144497104212e-10       8.160618622906e-11       1.212840963773e-13 
   12       1.154636493498e-10       1.300077319941e-15       1.686305636978e-13       7.405212621060e-18       7.996793598711e-10       7.220163693820e-11       1.401094083865e-13 
   13       1.162949372063e-10       1.215146816198e-15       1.554699278127e-13       8.650873878210e-18       7.053941147736e-10       6.450909081791e-11       1.256291543281e-13 
   14       1.173524728897e-10       1.076005880655e-15       1.528422253864e-13       9.995194983750e-18       6.268892973886e-10       5.783541388193e-11       9.061958940179e-14 
   15       1.186415905172e-10       9.415304971008e-16       1.577858667584e-13       1.143849472705e-17       5.607632325942e-10       5.225339551307e-11       4.738637579508e-14 
   16       1.201228983980e-10       8.715360837679e-16       1.672425386759e-13       1.298103719344e-17       5.045031184966e-10       4.751725531910e-11       5.063109757035e-15 
   17       1.217120160138e-10       8.821164449002e-16       1.786151497081e-13       1.462302900861e-17       4.562099766858e-10       4.342350733987e-11      -2.998563942775e-14 
   18       1.234117576299e-10       9.451861048332e-16       1.900861792329e-13       1.636461794828e-17       4.142678491613e-10       3.978323495070e-11      -5.420960654895e-14 
   19       1.252298100346e-10       1.028360007028e-15       2.006597261344e-13       1.820590150854e-17       3.780186091505e-10       3.656775587512e-11      -6.672788415724e-14 
   20       1.271101910802e-10       1.098942116555e-15       2.095328024185e-13       2.014691823198e-17       3.460734530313e-10       3.372440768338e-11      -6.837673087472e-14 
   21       1.290645863060e-10       1.160938455916e-15       2.167684680741e-13       2.218767280020e-17       3.179358157850e-10       3.120803904605e-11      -6.133031233638e-14 
   22       1.310921871581e-10       1.233625153298e-15       2.228232670591e-13       2.432812573548e-17       2.929372454048e-10       2.893499285344e-11      -4.898929319192e-14 
   23       1.331813182550e-10       1.336547233370e-15       2.281716387104e-13       2.656822348123e-17       2.707375550278e-10       2.687440620859e-11      -3.434820314512e-14 
   24       1.352990475143e-10       1.488047899081e-15       2.333622569200e-13       2.890788804603e-17       2.508271518957e-10       2.499311090993e-11      -2.054989353606e-14 
   25       1.374631776759e-10       1.688292709825e-15       2.388622751711e-13       3.134705235389e-17       2.329743868939e-10       2.330074016393e-11      -9.447189130972e-15 
   26       1.396871377208e-10       1.930035733302e-15       2.450762362229e-13       3.388564757190e-17       2.168586359251e-10       2.179911347518e-11      -2.370980308685e-15 
   27       1.419505831709e-10       2.206997430363e-15       2.520344872823e-13       3.652363422975e-17       2.022883567541e-10       2.045326340560e-11       5.001381945160e-16 
   28       1.442157387956e-10       2.513011678871e-15       2.595768915044e-13       3.926099410874e-17       1.890141079456e-10       1.920984836036e-11      -4.235277083200e-16 
   29       1.464925983956e-10       2.847718905642e-15       2.673952332804e-13       4.209776680009e-17       1.769691941508e-10       1.806488477180e-11      -4.311569239110e-15 
   30       1.487965622054e-10       3.212444145382e-15       2.750388531299e-13       4.503402870572e-17       1.660253985886e-10       1.702099276838e-11      -9.905611997667e-15 
   31       1.511326050345e-10       3.607866962140e-15       2.819750019588e-13       4.806989300418e-17       1.559608748708e-10       1.607117116100e-11      -1.573313160507e-14 
   32       1.535035749465e-10       4.031854412324e-15       2.878068183367e-13       5.120553551286e-17       1.467244056272e-10       1.520572975985e-11      -2.091275255460e-14 
   33       1.559022384674e-10       4.480711474833e-15       2.921257592769e-13       5.444118668769e-17       1.382513702664e-10       1.440596108227e-11      -2.462357470508e-14 
   34       1.583151908169e-10       4.951277534123e-15       2.945410176481e-13       5.777712527860e-17       1.304240361676e-10       1.364912889948e-11      -2.611480891967e-14 
   35       1.607493517491e-10       5.446527741378e-15       2.949948859977e-13       6.121366205870e-17       1.232028476776e-10       1.293592692274e-11      -2.549728040979e-14 
   36       1.632130665379e-10       5.972005027988e-15       2.935605521508e-13       6.475115817389e-17       1.165303764251e-10       1.227173377035e-11      -2.324010074764e-14 
   37       1.657091850303e-10       6.533419786152e-15       2.903533596165e-13       6.839001011299e-17       1.103203726283e-10       1.165891577463e-11      -1.991941737666e-14 
   38       1.682379643766e-10       7.133188938978e-15       2.854978763231e-13       7.213056821294e-17       1.045571029619e-10       1.109634663476e-11      -1.602946926678e-14 
   39       1.707938710301e-10       7.772799416478e-15       2.791556428554e-13       7.597319648896e-17       9.922255862586e-11       1.057916474583e-11      -1.212462410301e-14 
   40       1.733638913813e-10       8.453731329327e-15       2.715379154152e-13       7.991829751680e-17       9.426622894525e-11       1.009847175358e-11      -8.879567908410e-15 
   41       1.759334363303e-10       9.177218347975e-15       2.628445271384e-13       8.396627433171e-17       8.962276456849e-11       9.644162392783e-12      -6.919139148535e-15 
   42       1.785080790819e-10       9.943441866300e-15       2.530492111561e-13       8.811739548221e-17       8.527870291128e-11       9.215329169167e-12      -6.223322734219e-15 
   43       1.810976948080e-10       1.075206972063e-14       2.420495210616e-13       9.237189005580e-17       8.122268864624e-11       8.812679548510e-12      -6.541084440866e-15 
   44       1.837102017974e-10       1.160245154780e-14       2.297236436298e-13       9.672998397643e-17       7.742544622520e-11       8.435546636812e-12      -7.546576344759e-15 
   45       1.863510465710e-10       1.249389435001e-14       2.159357092128e-13       1.011918625969e-16       7.385027949419e-11       8.082333580538e-12      -8.885305997194e-15 
   46       1.890220837020e-10       1.342663249515e-14       2.005568608464e-13       1.057575461360e-16       7.049167796816e-11       7.752283645494e-12      -1.034039618373e-14 
   47       1.917219221966e-10       1.440111517816e-14       1.834481417714e-13       1.104269762830e-16       6.734582382811e-11       7.444038325351e-12      -1.170787869234e-14 
