# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.497419725088e-10       7.307773082578e-15       4.823750050394e-13       0.000000000000e+00       8.928950895854e-09       4.896030310945e-10      -2.513000256705e-12 
    3       1.412500060966e-10       1.237838513015e-14       6.074352993113e-13       0.000000000000e+00       5.489952249902e-09       3.496387926584e-10      -2.211165199775e-12 
    4       1.328841030379e-10       1.445633162307e-14       6.289042733462e-13       0.000000000000e+00       3.821029287664e-09       2.665749319590e-10      -1.764433785327e-12 
    5       1.262869227683e-10       1.337251154684e-14       5.895181470499e-13       0.000000000000e+00       2.855646784923e-09       2.118238210783e-10      -1.310105467517e-12 
    6       1.214665661111e-10       1.032258913949e-14       5.193112585635e-13       0.000000000000e+00       2.233270250616e-09       1.731823872757e-10      -8.956646871584e-13 
    7       1.181243262684e-10       6.846256340048e-15       4.387022070806e-13       0.000000000000e+00       1.803746229102e-09       1.446184183730e-10      -5.453286297191e-13 
    8       1.159415785698e-10       4.050139065538e-15       3.599843016091e-13       0.000000000000e+00       1.492209776932e-09       1.227679575215e-10      -2.699406390698e-13 
    9       1.146699181698e-10       2.344498395341e-15       2.904790479657e-13       0.000000000000e+00       1.257453798355e-09       1.056010161867e-10      -7.117014492182e-14 
   10       1.140927348350e-10       1.578023978515e-15       2.343245565785e-13       0.000000000000e+00       1.075301605835e-09       9.185651321052e-11       5.629817926532e-14 
   11       1.140718969191e-10       1.349876147949e-15       1.932401946431e-13       0.000000000000e+00       9.069903137849e-10       8.097485342922e-11       1.220864985090e-13 
   12       1.144962136463e-10       1.290985680800e-15       1.669782965769e-13       0.000000000000e+00       7.930153982870e-10       7.163052994692e-11       1.408094678656e-13 
   13       1.152456155338e-10       1.204328079663e-15       1.537785516836e-13       0.000000000000e+00       6.994024110322e-10       6.398936018065e-11       1.262972762406e-13 
   14       1.162206976011e-10       1.062054851728e-15       1.510238245353e-13       0.000000000000e+00       6.214720083382e-10       5.736136273820e-11       9.130262616801e-14 
   15       1.174270417673e-10       9.234807999269e-16       1.557634158336e-13       0.000000000000e+00       5.558414368329e-10       5.181919362767e-11       4.809642997307e-14 
