# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.320687988306e-10       7.348778310444e-15       7.562353296723e-13       7.422727356471e-19       9.612403180349e-09       4.419263681620e-10      -2.519767939568e-12 
    3       2.218096359106e-10       1.245565055311e-14       9.398333009201e-13       1.484926424345e-18       5.993781519250e-09       3.287736451874e-10      -2.218526682087e-12 
    4       2.092252759671e-10       1.455265364628e-14       9.761832367559e-13       2.475711055285e-18       4.218897023785e-09       2.570690891450e-10      -1.771340487392e-12 
    5       1.977120458897e-10       1.346980102110e-14       9.228300605158e-13       3.715099208680e-18       3.184778214740e-09       2.079967114643e-10      -1.316201780004e-12 
    6       1.878516043420e-10       1.041062364297e-14       8.207847432193e-13       5.203652348444e-18       2.513940036572e-09       1.724983383421e-10      -9.009265664571e-13 
    7       1.795513550125e-10       6.922582214928e-15       6.993199058830e-13       6.942003026866e-18       2.048330345984e-09       1.457630967826e-10      -5.499482294478e-13 
    8       1.725868879788e-10       4.115417591808e-15       5.771671452560e-13       8.930835151305e-18       1.708736446297e-09       1.250243075877e-10      -2.742324369350e-13 
    9       1.667245303925e-10       2.398978461941e-15       4.660824071942e-13       1.117086308563e-17       1.451337030438e-09       1.085636660125e-10      -7.547953058862e-14 
   10       1.617600603964e-10       1.621539971520e-15       3.730120305355e-13       1.366281040157e-17       1.250396814035e-09       9.527102285770e-11       5.167466603594e-14 
   11       1.575671619454e-10       1.384282235722e-15       3.011821051142e-13       1.640738910442e-17       1.037700608744e-09       8.392218098956e-11       1.170483642074e-13 
   12       1.540086340009e-10       1.322249856159e-15       2.508880084699e-13       1.940528013338e-17       9.121323767764e-10       7.468986541676e-11       1.352030371685e-13 
   13       1.509530737675e-10       1.242230831397e-15       2.202538526200e-13       2.265711587994e-17       8.086177080122e-10       6.711611743450e-11       1.201785342333e-13 
   14       1.483084775759e-10       1.117516391458e-15       2.060973119158e-13       2.616346538104e-17       7.221339629302e-10       6.048383807165e-11       8.485450486546e-14 
   15       1.460706235024e-10       1.005145156116e-15       2.046465235311e-13       2.992482272989e-17       6.490434418777e-10       5.493114076638e-11       4.159806248339e-14 
   16       1.441686629569e-10       9.609742329771e-16       2.119473451785e-13       3.394159911204e-17       5.866525403292e-10       5.020191780792e-11      -4.428152869587e-16 
   17       1.425214106940e-10       9.972987407752e-16       2.244951078092e-13       3.821411872223e-17       5.329221161583e-10       4.609100522034e-11      -3.492819056192e-14 
   18       1.411280851740e-10       1.084138441003e-15       2.395943087569e-13       4.274261676007e-17       4.861007140550e-10       4.241207844771e-11      -5.836775992779e-14 
   19       1.400048448112e-10       1.190175447646e-15       2.556267232078e-13       4.752725269784e-17       4.455182193287e-10       3.914509480435e-11      -6.995906313921e-14 
   20       1.390692314552e-10       1.285216819699e-15       2.710440695588e-13       5.256809702628e-17       4.096390276064e-10       3.624697852350e-11      -7.063947846937e-14 
   21       1.383366558760e-10       1.375859005826e-15       2.854603537556e-13       5.786516975448e-17       3.779335287616e-10       3.367390666371e-11      -6.267915052067e-14 
   22       1.377979699353e-10       1.483959738365e-15       2.989244815778e-13       6.341842465383e-17       3.496804417412e-10       3.134023290807e-11      -4.957667062772e-14 
   23       1.374442845883e-10       1.629411576388e-15       3.116498567367e-13       6.922779513461e-17       3.245149653133e-10       2.921654930041e-11      -3.439220968510e-14 
   24       1.372340841139e-10       1.829962120793e-15       3.239652273932e-13       7.529317839767e-17       3.018766387699e-10       2.727177378359e-11      -2.031393686124e-14 
   25       1.371843619719e-10       2.085028738482e-15       3.362146156488e-13       8.161448896299e-17       2.815164496925e-10       2.551709284165e-11      -9.196031064304e-15 
   26       1.373002520763e-10       2.386615402711e-15       3.487185128527e-13       8.819163939817e-17       2.630831475778e-10       2.395489900561e-11      -2.339476782956e-15 
   27       1.375612710668e-10       2.728820827212e-15       3.614505969279e-13       9.502458712082e-17       2.463685735190e-10       2.254896757807e-11       1.393811676706e-16 
   28       1.379255611889e-10       3.106203274786e-15       3.742154320861e-13       1.021133218752e-16       2.310971927420e-10       2.124406195602e-11      -1.266330686908e-15 
   29       1.384056744885e-10       3.518814517101e-15       3.866868938219e-13       1.094579195357e-16       2.171996311021e-10       2.003727496656e-11      -5.662964490977e-15 
   30       1.390136708738e-10       3.968299984308e-15       3.984183018516e-13       1.170585112401e-16       2.045352564199e-10       1.893311428401e-11      -1.172265531676e-14 
   31       1.397445454909e-10       4.455615038511e-15       4.088964423299e-13       1.249152826453e-16       1.928559742864e-10       1.792601964348e-11      -1.790000177594e-14 
   32       1.406016493735e-10       4.978697020100e-15       4.177280380409e-13       1.330285093336e-16       1.821075641560e-10       1.700606642365e-11      -2.328663728383e-14 
   33       1.415766742807e-10       5.533808431368e-15       4.245144834498e-13       1.413985468166e-16       1.722195267849e-10       1.615329324031e-11      -2.704973742055e-14 
   34       1.426510913657e-10       6.117822057161e-15       4.288862883807e-13       1.500258203030e-16       1.630599283144e-10       1.534357543852e-11      -2.843692698413e-14 
