# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.711357062559e-10       7.304737416528e-15       5.627930835057e-13       3.283336838655e-19       9.016965047610e-09       4.719327237186e-10      -2.512092985783e-12 
    3       1.622275190714e-10       1.237157726863e-14       7.048629665654e-13       6.569315279896e-19       5.555241318387e-09       3.403123979456e-10      -2.210111680336e-12 
    4       1.526039711164e-10       1.444683752101e-14       7.304198737000e-13       1.095463807778e-18       3.872882046309e-09       2.609581943799e-10      -1.763385479482e-12 
    5       1.444785495088e-10       1.336310826734e-14       6.866910946084e-13       1.644257772734e-18       2.898871340463e-09       2.081725001464e-10      -1.309173897831e-12 
    6       1.380514068790e-10       1.031631216905e-14       6.070031382041e-13       2.303701826838e-18       2.270429363765e-09       1.707011832978e-10      -8.949388460332e-13 
    7       1.330971206102e-10       6.844934797521e-15       5.143830316889e-13       3.074232968554e-18       1.836370664981e-09       1.428841667672e-10      -5.448723223447e-13 
    8       1.293322174814e-10       4.053732747323e-15       4.229810198119e-13       3.956322866384e-18       1.521278461046e-09       1.215381962247e-10      -2.697887335654e-13 
    9       1.265195216092e-10       2.351500090462e-15       3.413605961612e-13       4.950463117129e-18       1.283625731670e-09       1.047290220960e-10      -7.132620565752e-14 
   10       1.244506438677e-10       1.586557710057e-15       2.744175054298e-13       6.057150264232e-18       1.099052727426e-09       9.124587477484e-11       5.586074275086e-14 
   11       1.229935702172e-10       1.358806745954e-15       2.242613645417e-13       7.276871160278e-18       9.246216048537e-10       8.041103066307e-11       1.214277369867e-13 
   12       1.220326467348e-10       1.300458076055e-15       1.907713974791e-13       8.610089240848e-18       8.091623230829e-10       7.120176005675e-11       1.399944264148e-13 
   13       1.214452419753e-10       1.215561231463e-15       1.721421622964e-13       1.005723223694e-17       7.142772136950e-10       6.367058290994e-11       1.253954158309e-13 
   14       1.211371152256e-10       1.076653678455e-15       1.655982131125e-13       1.161868179186e-17       6.352438536441e-10       5.712345696471e-11       9.039751448823e-14 
   15       1.211117959150e-10       9.427242452554e-16       1.679666908442e-13       1.329476536839e-17       5.686479298625e-10       5.165179508328e-11       4.726023123537e-14 
   16       1.213214379304e-10       8.733825554932e-16       1.759681744674e-13       1.508575073609e-17       5.119666152372e-10       4.700835489101e-11       5.079071207035e-15 
   17       1.216846037354e-10       8.845621318419e-16       1.867849900636e-13       1.699184322130e-17       4.632931198287e-10       4.299139301803e-11      -2.981709869286e-14 
   18       1.222037119566e-10       9.482382283750e-16       1.983760854975e-13       1.901318443743e-17       4.210028793754e-10       3.941553680727e-11      -5.390580937608e-14 
   19       1.228892151824e-10       1.032250176302e-15       2.095916871701e-13       2.114986189711e-17       3.844403694540e-10       3.625430476092e-11      -6.632363234011e-14 
   20       1.236787962341e-10       1.104173961776e-15       2.194379413084e-13       2.340189973077e-17       3.522055929696e-10       3.345819504035e-11      -6.792043935406e-14 
   21       1.245853240448e-10       1.168079045785e-15       2.278549250637e-13       2.576928629099e-17       3.238005881764e-10       3.098299005350e-11      -6.087189820247e-14 
   22       1.256059195332e-10       1.243190406699e-15       2.351787575073e-13       2.825196309516e-17       2.985543389920e-10       2.874590071329e-11      -4.857243507054e-14 
   23       1.267302856963e-10       1.348860596963e-15       2.418039437854e-13       3.084985772330e-17       2.761255305077e-10       2.671671300015e-11      -3.400489536804e-14 
   24       1.279239175539e-10       1.503185625301e-15       2.482070026122e-13       3.356287270292e-17       2.560011395125e-10       2.486312332843e-11      -2.029624143623e-14 
   25       1.292039233382e-10       1.706252041019e-15       2.548087831599e-13       3.639092394216e-17       2.379487369134e-10       2.319471115686e-11      -9.287243722811e-15 
   26       1.305809257170e-10       1.950810053184e-15       2.619770132064e-13       3.933392715334e-17       2.216458382715e-10       2.171332265725e-11      -2.296716352095e-15 
