# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.640859872121e-10       7.376644528849e-15       8.463848182439e-13       0.000000000000e+00       1.000104090564e-08       4.287532538553e-10      -2.525049873262e-12 
    3       2.509812932692e-10       1.250926322680e-14       1.044654086156e-12       0.000000000000e+00       6.289627644549e-09       3.246812532995e-10      -2.224406926262e-12 
    4       2.360799902449e-10       1.462039077620e-14       1.083502929764e-12       0.000000000000e+00       4.456519214358e-09       2.564799681460e-10      -1.777072655248e-12 
    5       2.225756122862e-10       1.353701318383e-14       1.024369200976e-12       0.000000000000e+00       3.383461237171e-09       2.090352089185e-10      -1.321477344686e-12 
    6       2.109759698696e-10       1.046633187052e-14       9.112279681002e-13       0.000000000000e+00       2.684775534020e-09       1.743576452902e-10      -9.056349510354e-13 
    7       2.011380413545e-10       6.961481272089e-15       7.758859712189e-13       0.000000000000e+00       2.198192174555e-09       1.480284366564e-10      -5.541143478466e-13 
    8       1.928024210030e-10       4.136517153645e-15       6.390481548371e-13       0.000000000000e+00       1.842119543257e-09       1.274859445060e-10      -2.779706689528e-13 
    9       1.857033268410e-10       2.403539542939e-15       5.139451117191e-13       0.000000000000e+00       1.571308163461e-09       1.111254237271e-10      -7.894996432370e-14 
   10       1.796161965932e-10       1.611914259805e-15       4.085429765980e-13       0.000000000000e+00       1.359181638946e-09       9.788078311283e-11       4.830696775704e-14 
   11       1.743996875365e-10       1.363801470813e-15       3.266744998197e-13       0.000000000000e+00       1.110610413248e-09       8.607566908731e-11       1.137095439397e-13 
   12       1.698985718738e-10       1.295381048694e-15       2.688904826303e-13       0.000000000000e+00       9.786323958464e-10       7.679896821455e-11       1.317348505229e-13 
   13       1.659708041848e-10       1.214209985295e-15       2.332909283807e-13       0.000000000000e+00       8.696473473427e-10       6.917532993884e-11       1.165513036168e-13 
   14       1.625186460054e-10       1.093296048697e-15       2.164603704017e-13       0.000000000000e+00       7.784415724021e-10       6.247589605888e-11       8.109267382583e-14 
   15       1.595303065660e-10       9.881087938577e-16       2.142608765686e-13       0.000000000000e+00       7.012349022585e-10       5.685961156680e-11       3.778213450711e-14 
   16       1.569248113642e-10       9.521110488368e-16       2.223072205428e-13       0.000000000000e+00       6.352251871752e-10       5.206799161835e-11      -4.198424554052e-15 
