# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495394884645e-10       7.293300395535e-15       4.816393796714e-13       2.468754677862e-19       8.854927668951e-09       4.865586273063e-10      -2.510188715711e-12 
    3       1.409883803190e-10       1.235012219236e-14       6.061177345865e-13       4.939862435888e-19       5.437996931269e-09       3.470157478029e-10      -2.208056009906e-12 
    4       1.325541595503e-10       1.442029960202e-14       6.271183670567e-13       8.238250650804e-19       3.781150281899e-09       2.642861191248e-10      -1.761479776708e-12 
    5       1.258789369472e-10       1.333643800787e-14       5.874181285882e-13       1.236683039376e-18       2.823436112732e-09       2.098055708069e-10      -1.307514546719e-12 
    6       1.209717012491e-10       1.029207936610e-14       5.170542869198e-13       1.732905321667e-18       2.206403666777e-09       1.713884830248e-10      -8.935224964252e-13 
    7       1.175359413190e-10       6.823581418801e-15       4.364155181881e-13       2.312879732667e-18       1.780806437205e-09       1.430116925982e-10      -5.436319454777e-13 
    8       1.152524609353e-10       4.035079359370e-15       3.577507859163e-13       2.977024144131e-18       1.472280417119e-09       1.213181362367e-10      -2.686235043384e-13 
    9       1.138752023150e-10       2.335762332649e-15       2.883274930862e-13       3.725773130460e-18       1.239923259132e-09       1.042849331302e-10      -7.013017607230e-14 
   10       1.131894666812e-10       1.574200615760e-15       2.322306643665e-13       4.559564411811e-18       1.059741947955e-09       9.065643845831e-11       5.717437361951e-14 
   11       1.130559185782e-10       1.349653625790e-15       1.911438082935e-13       5.478825620220e-18       8.936483464387e-10       7.988685467131e-11       1.228884169087e-13 
   12       1.133656113297e-10       1.292964516473e-15       1.647980775119e-13       6.483961904707e-18       7.809931763990e-10       7.063155594198e-11       1.416343710774e-13 
