# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.538709727409e-10       7.382910573472e-15       8.249604491757e-13       1.230784508207e-18       1.005372058062e-08       4.345385979497e-10      -2.526009272405e-12 
    3       2.446759645310e-10       1.252062802555e-14       1.030024510811e-12       2.462039364868e-18       6.325196499230e-09       3.269223291475e-10      -2.225452625685e-12 
    4       2.317054221692e-10       1.463524909578e-14       1.074142980947e-12       4.104428135428e-18       4.483988869805e-09       2.576520656802e-10      -1.778076126184e-12 
    5       2.193489693632e-10       1.355351049682e-14       1.018770468126e-12       6.158533965175e-18       3.405958107716e-09       2.097614346125e-10      -1.322402338608e-12 
    6       2.085016030854e-10       1.048339449940e-14       9.080963225929e-13       8.625049385338e-18       2.703858758343e-09       1.748461342016e-10      -9.064860401952e-13 
    7       1.991879515451e-10       6.978988282314e-15       7.741794457720e-13       1.150475417891e-17       2.214751616275e-09       1.483752535814e-10      -5.549061476825e-13 
    8       1.912359565576e-10       4.154938456751e-15       6.380076898160e-13       1.479849083879e-17       1.856678793728e-09       1.277512212556e-10      -2.787293862009e-13 
    9       1.844273029023e-10       2.423566995040e-15       5.130840721427e-13       1.850713858053e-17       1.584202128478e-09       1.113440208410e-10      -7.970495169121e-14 
   10       1.785660290253e-10       1.634315882677e-15       4.076103401527e-13       2.263158692502e-17       1.370723216102e-09       9.806524992100e-11       4.752982168588e-14 
   11       1.735292091543e-10       1.389482820522e-15       3.255982935925e-13       2.717270987742e-17       1.119111725547e-09       8.617596217150e-11       1.129007877763e-13 
   12       1.691712964994e-10       1.325484137032e-15       2.677191132866e-13       3.213134169895e-17       9.863518593994e-10       7.687532958420e-11       1.308770644247e-13 
   13       1.653620962782e-10       1.250085040533e-15       2.321398046658e-13       3.750825519679e-17       8.767008172948e-10       6.923173408216e-11       1.156452723526e-13 
   14       1.620085381362e-10       1.136308027813e-15       2.154625765784e-13       4.330414334940e-17       7.849212736441e-10       6.252021309322e-11       8.014817232513e-14 
   15       1.591041044691e-10       1.039374252187e-15       2.135289541541e-13       4.951960494240e-17       7.072154881187e-10       5.689426854774e-11       3.681818346985e-14 
   16       1.565683857506e-10       1.012303172179e-15       2.219129258099e-13       5.615513472187e-17       6.407679091222e-10       5.209170396000e-11      -5.157926587668e-15 
   17       1.543240029373e-10       1.064609121447e-15       2.366150959750e-13       6.321111838168e-17       5.834449419352e-10       4.790553484660e-11      -3.942607403791e-14 
   18       1.523672510217e-10       1.164509599374e-15       2.544735880797e-13       7.068783013817e-17       5.334011807776e-10       4.415075396729e-11      -6.250503815400e-14 
   19       1.507170556568e-10       1.280705867081e-15       2.735385623246e-13       7.858544933248e-17       4.899663192672e-10       4.080952762712e-11      -7.361718906627e-14 
   20       1.492846464985e-10       1.384001460204e-15       2.919239705924e-13       8.690404397500e-17       4.514989085488e-10       3.783909228476e-11      -7.373914057966e-14 
   21       1.480865032176e-10       1.482598263770e-15       3.090787492375e-13       9.564361877029e-17       4.174469309342e-10       3.519705644154e-11      -6.519353537907e-14 
   22       1.471103098952e-10       1.600317348667e-15       3.249561422954e-13       1.048040955443e-16       3.870562711767e-10       3.279860125367e-11      -5.154037377720e-14 
   23       1.463476263710e-10       1.757929004736e-15       3.397564138552e-13       1.143853704209e-16       3.599454726774e-10       3.061435695229e-11      -3.588426895457e-14 
   24       1.457540140237e-10       1.973632273424e-15       3.538451892539e-13       1.243872941356e-16       3.355193258680e-10       2.861223911217e-11      -2.144962874140e-14 
   25       1.453460684485e-10       2.246754153305e-15       3.676306711169e-13       1.348097386886e-16       3.135171174401e-10       2.680266347177e-11      -1.010584563141e-14 
   26       1.451262227568e-10       2.568989324808e-15       3.815206696344e-13       1.456525734111e-16       2.935674286909e-10       2.518687706599e-11      -3.155079606623e-15 
   27       1.450734916469e-10       2.934352765647e-15       3.955505986636e-13       1.569157232073e-16       2.754509558599e-10       2.372837178042e-11      -6.971907171750e-16 
   28       1.451442561737e-10       3.337353155353e-15       4.095801312099e-13       1.685991529938e-16       2.588747209125e-10       2.237176723136e-11      -2.210128531505e-15 
   29       1.453518737762e-10       3.777998922394e-15       4.232952337807e-13       1.807029344859e-16       2.437674771407e-10       2.111501756493e-11      -6.769456702740e-15 
   30       1.457075849381e-10       4.257855139445e-15       4.362483136791e-13       1.932272079729e-16       2.299803622400e-10       1.996364742112e-11      -1.300748264519e-14 
   31       1.462036012869e-10       4.777757863806e-15       4.479203405739e-13       2.061721813431e-16       2.172479498346e-10       1.891273185887e-11      -1.933469575489e-14 
   32       1.468439067963e-10       5.335547952072e-15       4.578920905058e-13       2.195381736523e-16       2.055139767051e-10       1.795199182147e-11      -2.482267731234e-14 
   33       1.476204407773e-10       5.927370293227e-15       4.657275261780e-13       2.333256030437e-16       1.947040077555e-10       1.706041446126e-11      -2.862445289369e-14 
   34       1.485136554066e-10       6.550022323119e-15       4.710189953353e-13       2.475349739705e-16       1.846767045802e-10       1.621271333244e-11      -2.997726499480e-14 
   35       1.495306839827e-10       7.207370754036e-15       4.737130564191e-13       2.621668396589e-16       1.753874148461e-10       1.541070393281e-11      -2.903885369383e-14 
   36       1.506777718652e-10       7.906268747758e-15       4.739030058966e-13       2.772218406165e-16       1.667682105690e-10       1.466193490790e-11      -2.635710430616e-14 
   37       1.519524097324e-10       8.653736280130e-15       4.717342342927e-13       2.927006750984e-16       1.587144492568e-10       1.397052039878e-11      -2.259524955952e-14 
   38       1.533554250078e-10       9.452746345906e-15       4.673571512696e-13       3.086039364149e-16       1.512098146262e-10       1.333521201762e-11      -1.829728921228e-14 
   39       1.548809538660e-10       1.030509695154e-14       4.609656601846e-13       3.249322309196e-16       1.442345265584e-10       1.275005699565e-11      -1.406194369576e-14 
   40       1.565118830917e-10       1.121253088183e-14       4.528144773401e-13       3.416862265889e-16       1.377271705720e-10       1.220441680313e-11      -1.061558243647e-14 
   41       1.582275162553e-10       1.217651564392e-14       4.431455966858e-13       3.588665785400e-16       1.316071337144e-10       1.168636512263e-11      -8.626224094418e-15 
   42       1.600320540826e-10       1.319751335339e-14       4.319300969327e-13       3.764736670538e-16       1.258595136106e-10       1.119514598960e-11      -8.053869556118e-15 
   43       1.619336486966e-10       1.427546182194e-14       4.190484431450e-13       3.945077808300e-16       1.204716765302e-10       1.073211733722e-11      -8.601875660245e-15 
   44       1.639360798768e-10       1.540994633894e-14       4.043588093858e-13       4.129691865423e-16       1.154077000511e-10       1.029718875353e-11      -9.887154617098e-15 
   45       1.660398139973e-10       1.660048525167e-14       3.877028868016e-13       4.318580588023e-16       1.106219203701e-10       9.889159755163e-12      -1.149622135758e-14 
   46       1.682465819619e-10       1.784753897274e-14       3.689292930761e-13       4.511742487006e-16       1.061088182342e-10       9.507157243269e-12      -1.318630040025e-14 
   47       1.705554310019e-10       1.915176620504e-14       3.478743357441e-13       4.709174434581e-16       1.018648604766e-10       9.149409764590e-12      -1.473496980895e-14 
   48       1.729610108506e-10       2.051373950422e-14       3.243539514356e-13       4.910872235835e-16       9.787341463980e-11       8.812719694631e-12      -1.588191020938e-14 
