# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494741467354e-10       7.288825216737e-15       4.814060931394e-13       2.379652369475e-19       8.828539356425e-09       4.855172585386e-10      -2.509352861780e-12 
    3       1.409051835554e-10       1.234146966346e-14       6.057014134783e-13       4.761620019976e-19       5.419359502513e-09       3.461129534972e-10      -2.207137017427e-12 
    4       1.324494002442e-10       1.440935358360e-14       6.265533128286e-13       7.941096911231e-19       3.766794039214e-09       2.634945416866e-10      -1.760615057908e-12 
    5       1.257485918053e-10       1.332547799912e-14       5.867506029078e-13       1.192094633151e-18       2.811803930559e-09       2.091046464289e-10      -1.306764714422e-12 
    6       1.208119804948e-10       1.028263110094e-14       5.163314695005e-13       1.670456227848e-18       2.196671723918e-09       1.707632457259e-10      -8.929091594829e-13 
    7       1.173439312708e-10       6.816143805098e-15       4.356754285702e-13       2.229575696835e-18       1.772472653492e-09       1.424501535807e-10      -5.431486776631e-13 
    8       1.150249456029e-10       4.029479176597e-15       3.570180512426e-13       2.869863618391e-18       1.465020905066e-09       1.208102431291e-10      -2.682449054695e-13 
    9       1.136099234198e-10       2.331619433098e-15       2.876100996773e-13       3.591746738909e-18       1.233522036980e-09       1.038227253475e-10      -6.982092232168e-14 
   10       1.128848322611e-10       1.571174504288e-15       2.315197682251e-13       4.395654580916e-18       1.054047221012e-09       9.023376430274e-11       5.745114705726e-14 
   11       1.127100331155e-10       1.347427782768e-15       1.904193540110e-13       5.282006373522e-18       8.888686766233e-10       7.950529586475e-11       1.231595566768e-13 
   12       1.129773849866e-10       1.291122837866e-15       1.640338038144e-13       6.251198815767e-18       7.766810049437e-10       7.028067369921e-11       1.419287906674e-13 
   13       1.135665185659e-10       1.204868512082e-15       1.505929533072e-13       7.303595147228e-18       6.845872570949e-10       6.274433268113e-11       1.275169948765e-13 
   14       1.143790516240e-10       1.060695659066e-15       1.474850460861e-13       8.439515944823e-18       6.079624505567e-10       5.621034056646e-11       9.264444758713e-14 
   15       1.154210053037e-10       9.183351961953e-16       1.517712712930e-13       9.659231992355e-18       5.434645202757e-10       5.075150132456e-11       4.953001677349e-14 
   16       1.166540436566e-10       8.389479325002e-16       1.604309054425e-13       1.096295948286e-17       4.886260893557e-10       4.612483990866e-11       7.254359685172e-15 
   17       1.179947482947e-10       8.399510110414e-16       1.709075922656e-13       1.235085771685e-17       4.415833777370e-10       4.212975655992e-11      -2.785052644402e-14 
