# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.499371243499e-10       7.325882614442e-15       4.832447348355e-13       2.820106264225e-19       8.973172450305e-09       4.917514018531e-10      -2.516636740652e-12 
    3       1.415111828035e-10       1.241405173063e-14       6.089885728521e-13       5.642692435431e-19       5.520253045023e-09       3.514052800193e-10      -2.215165256557e-12 
    4       1.332145567781e-10       1.450301291491e-14       6.309732595299e-13       9.409914286920e-19       3.843793567256e-09       2.680607144583e-10      -1.768255690307e-12 
    5       1.266899290501e-10       1.342089198410e-14       5.918871744037e-13       1.412484774168e-18       2.873676805279e-09       2.130949265043e-10      -1.313491254013e-12 
    6       1.219447043577e-10       1.036516449911e-14       5.217711638725e-13       1.979114679534e-18       2.248052760793e-09       1.742836645255e-10      -8.984944391560e-13 
    7       1.186787949256e-10       6.879396184376e-15       4.410893359972e-13       2.641292735229e-18       1.816183259093e-09       1.455833560486e-10      -5.475824376066e-13 
    8       1.165741074232e-10       4.073760134561e-15       3.621956112697e-13       3.399463835010e-18       1.502874399960e-09       1.236217103060e-10      -2.716699589869e-13 
    9       1.153812145187e-10       2.360625093698e-15       2.924766122657e-13       4.254092519277e-18       1.266719832570e-09       1.063620089122e-10      -7.247110666675e-14 
   10       1.148828048043e-10       1.589371004060e-15       2.361290948267e-13       5.205649079357e-18       1.083424454969e-09       9.253831672419e-11       5.530980906053e-14 
   11       1.149418803111e-10       1.359014990923e-15       1.949120322551e-13       6.254595959459e-18       9.142973985397e-10       8.159376950869e-11       1.213068002506e-13 
   12       1.154463433411e-10       1.300079381096e-15       1.686000349318e-13       7.401374977999e-18       7.995434083667e-10       7.219044442458e-11       1.401276757912e-13 
   13       1.162764464204e-10       1.215137442589e-15       1.554404907144e-13       8.646395853987e-18       7.052719811013e-10       6.449898936525e-11       1.256449053084e-13 
   14       1.173326874084e-10       1.075959827765e-15       1.528116816841e-13       9.990026468545e-18       6.267789636715e-10       5.782624579087e-11       9.063437633423e-14 
   15       1.186204528269e-10       9.414344849790e-16       1.577522819180e-13       1.143258521879e-17       5.606630739334e-10       5.224498401585e-11       4.740119484487e-14 
   16       1.201003670921e-10       8.713847524661e-16       1.672045033251e-13       1.297433573407e-17       5.044118082725e-10       4.750954011131e-11       5.078448264107e-15 
   17       1.216881550249e-10       8.819112342380e-16       1.785713953970e-13       1.461548412663e-17       4.561264176202e-10       4.341649011341e-11      -2.996984567468e-14 
   18       1.233866014244e-10       9.449339973764e-16       1.900362439203e-13       1.635617760872e-17       4.141911438089e-10       3.977681664072e-11      -5.419386860492e-14 
   19       1.252034144479e-10       1.028066775964e-15       2.006035331877e-13       1.819651308235e-17       3.779479473419e-10       3.656183888832e-11      -6.671286050206e-14 
   20       1.270826676825e-10       1.098609113084e-15       2.094704748382e-13       2.013652846221e-17       3.460082014762e-10       3.371895576817e-11      -6.836307315138e-14 
   21       1.290360498962e-10       1.160563593098e-15       2.167002587203e-13       2.217622780535e-17       3.178754013841e-10       3.120302739346e-11      -6.131835180110e-14 
   22       1.310627356027e-10       1.233202443744e-15       2.227494732944e-13       2.431557100767e-17       2.928811923627e-10       2.893039355335e-11      -4.897889696654e-14 
   23       1.331510362055e-10       1.336066288083e-15       2.280923154269e-13       2.655450392207e-17       2.706854311609e-10       2.687017085159e-11      -3.433897551960e-14 
   24       1.352680050247e-10       1.487494305104e-15       2.332771133711e-13       2.889294799734e-17       2.507785973115e-10       2.498917562094e-11      -2.054127936578e-14 
   25       1.374314277079e-10       1.687653274331e-15       2.387709359226e-13       3.133083566471e-17       2.329290725394e-10       2.329707463899e-11      -9.438730499804e-15 
   26       1.396547154484e-10       1.929299813348e-15       2.449783122881e-13       3.386809766009e-17       2.168162806559e-10       2.179573248291e-11      -2.362401495134e-15 
   27       1.419175144587e-10       2.206152402334e-15       2.519295158485e-13       3.650469417060e-17       2.022487066969e-10       2.045016079529e-11       5.091160424035e-16 
   28       1.441820394289e-10       2.512042006795e-15       2.594643548715e-13       3.924060671934e-17       1.889769472645e-10       1.920698005035e-11      -4.138522454609e-16 
   29       1.464582562155e-10       2.846609742817e-15       2.672747638763e-13       4.207587473410e-17       1.769343150186e-10       1.806220385282e-11      -4.301059916083e-15 
   30       1.487615278246e-10       3.211182998901e-15       2.749103433555e-13       4.501057455337e-17       1.659926127482e-10       1.701846419703e-11      -9.894399200867e-15 
   31       1.510967971498e-10       3.606443961767e-15       2.818385934998e-13       4.804481938684e-17       1.559300303879e-10       1.606877627502e-11      -1.572161809923e-14 
   32       1.534669247245e-10       4.030260419837e-15       2.876626002325e-13       5.117878514067e-17       1.466953574962e-10       1.520346413052e-11      -2.090137973613e-14 
   33       1.558647108097e-10       4.478937569697e-15       2.919736447862e-13       5.441270245396e-17       1.382239832997e-10       1.440383726229e-11      -2.461273779612e-14 
   34       1.582767856470e-10       4.949314554144e-15       2.943807709820e-13       5.774685034463e-17       1.303981947660e-10       1.364717414265e-11      -2.610483748338e-14 
   35       1.607100673385e-10       5.444364077512e-15       2.948264220142e-13       6.118153984467e-17       1.231784421914e-10       1.293415614230e-11      -2.548843838637e-14 
   36       1.631728878923e-10       5.969625491503e-15       2.933840617594e-13       6.471713242052e-17       1.165073067284e-10       1.227013834279e-11      -2.323257089737e-14 
   37       1.656680871016e-10       6.530805831290e-15       2.901692921561e-13       6.835402491996e-17       1.102985535387e-10       1.165746457979e-11      -1.991328182610e-14 
   38       1.681959320140e-10       7.130322128789e-15       2.853066646871e-13       7.209256789579e-17       1.045364514053e-10       1.109500782869e-11      -1.602469967024e-14 
   39       1.707509080966e-10       7.769662722401e-15       2.789576002907e-13       7.593312556098e-17       9.920299421451e-11       1.057791366748e-11      -1.212106299613e-14 
