# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.497428589239e-10       7.288732545490e-15       4.824765798045e-13       0.000000000000e+00       8.830470654430e-09       4.853203834978e-10      -2.509377216166e-12 
    3       1.411689607307e-10       1.234126537041e-14       6.070029728646e-13       0.000000000000e+00       5.420750624376e-09       3.460208504097e-10      -2.207163433651e-12 
    4       1.326969296626e-10       1.440889449473e-14       6.279141936168e-13       0.000000000000e+00       3.767880112970e-09       2.634471859742e-10      -1.760639477912e-12 
    5       1.259761667574e-10       1.332462058093e-14       5.880580062441e-13       0.000000000000e+00       2.812695735108e-09       2.090798467981e-10      -1.306785677510e-12 
    6       1.210184433791e-10       1.028126203139e-14       5.175160103149e-13       0.000000000000e+00       2.197427640415e-09       1.707510509357e-10      -8.929267846997e-13 
    7       1.175290969985e-10       6.814177344660e-15       4.367023382447e-13       0.000000000000e+00       1.773127828461e-09       1.424454564001e-10      -5.431641488180e-13 
    8       1.151891123839e-10       4.026836830951e-15       3.578775702128e-13       0.000000000000e+00       1.465597906801e-09       1.208103063748e-10      -2.682597725711e-13 
    9       1.137535468122e-10       2.328215898413e-15       2.883095999682e-13       0.000000000000e+00       1.234035987928e-09       1.038259204525e-10      -6.983654523000e-14 
   10       1.130084176068e-10       1.566920143855e-15       2.320771593639e-13       0.000000000000e+00       1.054508907634e-09       9.023895973631e-11       5.743383014210e-14 
   11       1.128142437326e-10       1.342241061937e-15       1.908580656992e-13       0.000000000000e+00       8.892369457628e-10       7.950991971690e-11       1.231403351313e-13 
   12       1.130627625055e-10       1.284939809753e-15       1.643793243994e-13       0.000000000000e+00       7.770156730824e-10       7.028603277754e-11       1.419073638972e-13 
   13       1.136336461049e-10       1.197641522004e-15       1.508701917934e-13       0.000000000000e+00       6.848932484836e-10       6.275027795537e-11       1.274937249771e-13 
   14       1.144284894905e-10       1.052382741896e-15       1.477165517827e-13       0.000000000000e+00       6.082436900221e-10       5.621650148983e-11       9.262015469868e-14 
   15       1.154533869830e-10       9.088864939065e-16       1.519766738250e-13       0.000000000000e+00       5.437241937306e-10       5.075778850065e-11       4.950583104097e-14 
   16       1.166697971343e-10       8.282966282221e-16       1.606266835343e-13       0.000000000000e+00       4.888668141653e-10       4.613124981397e-11       7.231491629844e-15 
   17       1.179944587341e-10       8.280141374018e-16       1.711069858948e-13       0.000000000000e+00       4.418073298538e-10       4.213626264190e-11      -2.787089920284e-14 
   18       1.194310188647e-10       8.807363146327e-16       1.816212637042e-13       0.000000000000e+00       4.009609951566e-10       3.858638901934e-11      -5.225805246339e-14 
   19       1.209876544933e-10       9.538507749000e-16       1.911945509216e-13       0.000000000000e+00       3.656799147248e-10       3.545250336409e-11      -6.503628762589e-14 
   20       1.226088314460e-10       1.013917784310e-15       1.990472330968e-13       0.000000000000e+00       3.346050308525e-10       3.268258191098e-11      -6.701525680074e-14 
   21       1.243065470499e-10       1.063965098459e-15       2.052464341377e-13       0.000000000000e+00       3.072487118967e-10       3.023274523963e-11      -6.033047824875e-14 
   22       1.260803477608e-10       1.122193634193e-15       2.102452054665e-13       0.000000000000e+00       2.829568635715e-10       2.802173547551e-11      -4.833418213787e-14 
   23       1.279191090224e-10       1.207846924787e-15       2.145171147086e-13       0.000000000000e+00       2.613958234309e-10       2.601877632651e-11      -3.398006257913e-14 
   24       1.297903991245e-10       1.339302818116e-15       2.186092411875e-13       0.000000000000e+00       2.420675092620e-10       2.419049748903e-11      -2.037424436946e-14 
   25       1.317115035158e-10       1.516976320886e-15       2.229841168405e-13       0.000000000000e+00       2.247449117526e-10       2.254575728309e-11      -9.357017017007e-15 
   26       1.336952866776e-10       1.733938602307e-15       2.280416007314e-13       0.000000000000e+00       2.091148480662e-10       2.108617273380e-11      -2.260480496287e-15 
   27       1.357226031246e-10       1.983839202712e-15       2.338174979146e-13       0.000000000000e+00       1.949899746501e-10       1.977850902338e-11       7.198777796848e-16 
   28       1.377572812715e-10       2.260322029289e-15       2.401610787399e-13       0.000000000000e+00       1.821268870531e-10       1.857182527984e-11      -3.267961405643e-17 
   29       1.398090578274e-10       2.562881863513e-15       2.467730013858e-13       0.000000000000e+00       1.704599915957e-10       1.746188565669e-11      -3.713956140111e-15 
   30       1.418923518137e-10       2.892708721547e-15       2.532123502119e-13       0.000000000000e+00       1.598641123664e-10       1.645032470459e-11      -9.097910660593e-15 
   31       1.440111887465e-10       3.250372132856e-15       2.589569389433e-13       0.000000000000e+00       1.501232421163e-10       1.552946344932e-11      -1.474760844903e-14 
   32       1.461685063951e-10       3.633753896887e-15       2.636189522523e-13       0.000000000000e+00       1.411871679743e-10       1.469007761053e-11      -1.979947292692e-14 
