# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.560844607491e-10       7.382642675641e-15       8.293274739962e-13       1.231593912960e-18       1.005092172515e-08       4.335702076281e-10      -2.526013119661e-12 
    3       2.456191767187e-10       1.252034768193e-14       1.031582630107e-12       2.463658577321e-18       6.325551025992e-09       3.268007151561e-10      -2.225447009427e-12 
    4       2.320572404410e-10       1.463499837860e-14       1.073845686145e-12       4.107127704159e-18       4.484644661661e-09       2.577199704752e-10      -1.778077415034e-12 
    5       2.193790890650e-10       1.355335079731e-14       1.017390758852e-12       6.162584937284e-18       3.406594864114e-09       2.098802633075e-10      -1.322412194734e-12 
    6       2.083448480002e-10       1.048333966186e-14       9.062111330453e-13       8.630723399103e-18       2.704448218858e-09       1.749833474809e-10      -9.064958395545e-13 
    7       1.989214323212e-10       6.979010371343e-15       7.721885953427e-13       1.151232353712e-17       2.215307622089e-09       1.485162715015e-10      -5.549155171780e-13 
    8       1.909054871158e-10       4.155008060399e-15       6.361631385713e-13       1.480822856077e-17       1.857239525439e-09       1.278822725348e-10      -2.787366637201e-13 
    9       1.840625145579e-10       2.423668274587e-15       5.115207382944e-13       1.851931843174e-17       1.584798423616e-09       1.114580419751e-10      -7.970856954817e-14 
   10       1.781865969606e-10       1.634447458202e-15       4.063756616356e-13       2.264648342409e-17       1.371323872409e-09       9.816534385082e-11       4.753081538107e-14 
   11       1.731485877509e-10       1.389648127650e-15       3.246823837108e-13       2.719059828135e-17       1.119574462340e-09       8.627776131735e-11       1.129059388972e-13 
   12       1.688010404056e-10       1.325677448892e-15       2.670778670151e-13       3.215249796822e-17       9.867776655523e-10       7.697179897417e-11       1.308850349078e-13 
   13       1.650078406178e-10       1.250286054509e-15       2.317102807357e-13       3.753295594278e-17       8.770948532483e-10       6.932268973195e-11       1.156563282011e-13 
   14       1.616752406945e-10       1.136491777517e-15       2.151766993832e-13       4.333266576735e-17       7.852876861666e-10       6.260289901418e-11       8.016117797508e-14 
   15       1.587944158310e-10       1.039525628046e-15       2.133236747386e-13       4.955222673383e-17       7.075576286619e-10       5.696898870128e-11       3.683068882520e-14 
   16       1.562869889639e-10       1.012426469338e-15       2.217330081564e-13       5.619213401038e-17       6.410885344807e-10       5.216207781272e-11      -5.149230774190e-15 
   17       1.540710106246e-10       1.064723995076e-15       2.364178643113e-13       6.325277362683e-17       5.837463565839e-10       4.797377887527e-11      -3.942253985768e-14 
   18       1.521438978913e-10       1.164644194055e-15       2.542265915986e-13       7.073442004950e-17       5.336852366920e-10       4.421556736231e-11      -6.250630292752e-14 
   19       1.505244060858e-10       1.280881663848e-15       2.732178806526e-13       7.863725280119e-17       4.902348465644e-10       4.086998934978e-11      -7.362475069072e-14 
   20       1.491226408191e-10       1.384224638052e-15       2.915166793346e-13       8.696133999228e-17       4.517532373857e-10       3.789597328767e-11      -7.375691740027e-14 
   21       1.479548518423e-10       1.482857858842e-15       3.085791062919e-13       9.570668639148e-17       4.176882924414e-10       3.525096047266e-11      -6.522238459689e-14 
   22       1.470089362073e-10       1.600586095959e-15       3.243648381033e-13       1.048732138367e-16       3.872857207895e-10       3.284935129576e-11      -5.157651182785e-14 
   23       1.462761662690e-10       1.758184089659e-15       3.390775279872e-13       1.144608184639e-16       3.601639896373e-10       3.066193199707e-11      -3.592457501157e-14 
   24       1.457118088813e-10       1.973864802766e-15       3.530849683366e-13       1.244693510043e-16       3.357277152590e-10       2.865707593074e-11      -2.149337657158e-14 
   25       1.453324234468e-10       2.246970309724e-15       3.667959870256e-13       1.348986834957e-16       3.137161310217e-10       2.684544868452e-11      -1.015250672763e-14 
   26       1.451406030698e-10       2.569211223311e-15       3.806182787737e-13       1.457486853292e-16       2.937577149631e-10       2.522836506883e-11      -3.203370543124e-15 
   27       1.451154332418e-10       2.934609992769e-15       3.945873865765e-13       1.570192815400e-16       2.756331120704e-10       2.376886293566e-11      -7.440219477457e-16 
   28       1.452133679809e-10       3.337677584169e-15       4.085629202559e-13       1.687104372338e-16       2.590492571400e-10       2.241095952403e-11      -2.250680334629e-15 
