# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.499365701124e-10       7.325600603772e-15       4.832447403891e-13       0.000000000000e+00       8.973172450305e-09       4.917514018531e-10      -2.516636740652e-12 
    3       1.415100768182e-10       1.241348746095e-14       6.089885975609e-13       0.000000000000e+00       5.520253045023e-09       3.514052800193e-10      -2.215165256557e-12 
    4       1.332127189399e-10       1.450207192134e-14       6.309733303713e-13       0.000000000000e+00       3.843793567256e-09       2.680607144583e-10      -1.768255690307e-12 
    5       1.266871824017e-10       1.341947949202e-14       5.918873353464e-13       0.000000000000e+00       2.873676805279e-09       2.130949265043e-10      -1.313491254013e-12 
    6       1.219408757339e-10       1.036318536457e-14       5.217714793102e-13       0.000000000000e+00       2.248052760793e-09       1.742836645255e-10      -8.984944391560e-13 
    7       1.186737155082e-10       6.876754845609e-15       4.410898936966e-13       0.000000000000e+00       1.816183259093e-09       1.455833560486e-10      -5.475824376066e-13 
    8       1.165676131981e-10       4.070360575962e-15       3.621965247817e-13       0.000000000000e+00       1.502874399960e-09       1.236217103060e-10      -2.716699589869e-13 
    9       1.153731466251e-10       2.356370823387e-15       2.924780227710e-13       0.000000000000e+00       1.266719832570e-09       1.063620089122e-10      -7.247110666675e-14 
   10       1.148730097733e-10       1.584165045571e-15       2.361311724117e-13       0.000000000000e+00       1.083424454969e-09       9.253831672419e-11       5.530980906053e-14 
   11       1.149302101934e-10       1.352759889230e-15       1.949149766359e-13       0.000000000000e+00       9.142973985397e-10       8.159376950869e-11       1.213068002506e-13 
   12       1.154326557254e-10       1.292677222696e-15       1.686040756669e-13       0.000000000000e+00       7.995434083667e-10       7.219044442458e-11       1.401276757912e-13 
   13       1.162606043504e-10       1.206489888952e-15       1.554458869645e-13       0.000000000000e+00       7.052719811013e-10       6.449898936525e-11       1.256449053084e-13 
   14       1.173145592074e-10       1.065968161035e-15       1.528187215929e-13       0.000000000000e+00       6.267789636715e-10       5.782624579087e-11       9.063437633423e-14 
   15       1.185999118411e-10       9.299996644659e-16       1.577612817009e-13       0.000000000000e+00       5.606630739334e-10       5.224498401585e-11       4.740119484487e-14 
   16       1.200772913689e-10       8.584074801339e-16       1.672158061581e-13       0.000000000000e+00       5.044118082725e-10       4.750954011131e-11       5.078448264107e-15 
   17       1.216624269399e-10       8.672920271612e-16       1.785853702001e-13       0.000000000000e+00       4.561264176202e-10       4.341649011341e-11      -2.996984567468e-14 
   18       1.233581072685e-10       9.285732658637e-16       1.900532840796e-13       0.000000000000e+00       4.141911438089e-10       3.977681664072e-11      -5.419386860492e-14 
   19       1.251720440352e-10       1.009864899575e-15       2.006240555842e-13       0.000000000000e+00       3.779479473419e-10       3.656183888832e-11      -6.671286050206e-14 
   20       1.270483138779e-10       1.078466526886e-15       2.094949184996e-13       0.000000000000e+00       3.460082014762e-10       3.371895576817e-11      -6.836307315138e-14 
   21       1.289986082714e-10       1.138380857773e-15       2.167290843329e-13       0.000000000000e+00       3.178754013841e-10       3.120302739346e-11      -6.131835180110e-14 
   22       1.310221040024e-10       1.208880327215e-15       2.227831622689e-13       0.000000000000e+00       2.928811923627e-10       2.893039355335e-11      -4.897889696654e-14 
   23       1.331071144885e-10       1.309505824073e-15       2.281313698480e-13       0.000000000000e+00       2.706854311609e-10       2.687017085159e-11      -3.433897551960e-14 
   24       1.352206947135e-10       1.458596863488e-15       2.333220554951e-13       0.000000000000e+00       2.507785973115e-10       2.498917562094e-11      -2.054127936578e-14 
   25       1.373806318680e-10       1.656320600494e-15       2.388223084918e-13       0.000000000000e+00       2.329290725394e-10       2.329707463899e-11      -9.438730499804e-15 
   26       1.396003384556e-10       1.895434082418e-15       2.450366783849e-13       0.000000000000e+00       2.168162806559e-10       2.179573248291e-11      -2.362401495134e-15 
   27       1.418594619812e-10       2.169656243964e-15       2.519954592625e-13       0.000000000000e+00       2.022487066969e-10       2.045016079529e-11       5.091160424035e-16 
   28       1.441202183385e-10       2.472818539613e-15       2.595384800242e-13       0.000000000000e+00       1.889769472645e-10       1.920698005035e-11      -4.138522454609e-16 
   29       1.463925748160e-10       2.804562565781e-15       2.673576956409e-13       0.000000000000e+00       1.769343150186e-10       1.806220385282e-11      -4.301059916083e-15 
   30       1.486918958567e-10       3.166216212974e-15       2.750027268248e-13       0.000000000000e+00       1.659926127482e-10       1.701846419703e-11      -9.894399200867e-15 
   31       1.510231258086e-10       3.558462191216e-15       2.819410932478e-13       0.000000000000e+00       1.559300303879e-10       1.606877627502e-11      -1.572161809923e-14 
   32       1.533891270390e-10       3.979168789282e-15       2.877758978750e-13       0.000000000000e+00       1.466953574962e-10       1.520346413052e-11      -2.090137973613e-14 
