# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.682979563049e-10       7.388699086989e-15       8.605263805154e-13       1.238028439779e-18       1.006326400920e-08       4.261232832128e-10      -2.526942171305e-12 
    3       2.536694838590e-10       1.252906100187e-14       1.058263867843e-12       2.476529552569e-18       6.334583897144e-09       3.238191568589e-10      -2.226224530848e-12 
    4       2.379937010054e-10       1.464452312219e-14       1.095894079198e-12       4.128583525888e-18       4.491707377228e-09       2.561873390377e-10      -1.778725395056e-12 
    5       2.240147553900e-10       1.356228129514e-14       1.035076220133e-12       6.194776362753e-18       3.412376267691e-09       2.089744739325e-10      -1.322956454609e-12 
    6       2.120976092030e-10       1.049087878812e-14       9.199903746501e-13       8.675803966619e-18       2.709331939702e-09       1.743991605472e-10      -9.069569583379e-13 
    7       2.020364499195e-10       6.984882865464e-15       7.826312917336e-13       1.157244988570e-17       2.219526089265e-09       1.481151056613e-10      -5.553116243907e-13 
    8       1.935395803957e-10       4.159259642012e-15       6.438627162084e-13       1.488556063649e-17       1.860943576531e-09       1.275935663727e-10      -2.790837525450e-13 
    9       1.863216099945e-10       2.426513441584e-15       5.170457469971e-13       1.861601957410e-17       1.588091649332e-09       1.112428591034e-10      -8.002039292752e-14 
   10       1.801458839226e-10       1.636193969480e-15       4.102440420896e-13       2.276472033020e-17       1.374280295338e-09       9.800052133604e-11       4.724308284670e-14 
   11       1.748634138680e-10       1.390665502361e-15       3.273474278267e-13       2.733254085089e-17       1.121763191042e-09       8.613882609265e-11       1.126402710633e-13 
   12       1.703127907218e-10       1.326369457411e-15       2.689215230081e-13       3.232031903616e-17       9.887605549067e-10       7.685699095562e-11       1.306289437427e-13 
   13       1.663484600125e-10       1.251045902233e-15       2.330428090372e-13       3.772883091169e-17       8.789029355468e-10       6.922636439310e-11       1.154066099524e-13 
   14       1.628701190667e-10       1.137645858910e-15       2.162397268176e-13       4.355877215444e-17       7.869455906306e-10       6.252029932000e-11       7.991678648857e-14 
   15       1.598638339314e-10       1.041286745596e-15       2.142957413134e-13       4.981074365125e-17       7.090852606455e-10       5.689762758749e-11       3.659268216861e-14 
   16       1.572471353596e-10       1.014874648505e-15       2.227370067907e-13       5.648524159970e-17       6.425021776857e-10       5.209979810699e-11      -5.378585988668e-15 
   17       1.549354288793e-10       1.067828376059e-15       2.375290778126e-13       6.358265246979e-17       5.850594977458e-10       4.791876937565e-11      -3.964026053919e-14 
   18       1.529237664338e-10       1.168311277845e-15       2.554817863357e-13       7.110325056729e-17       5.349087158226e-10       4.416639285898e-11      -6.270942078365e-14 
   19       1.512299437249e-10       1.285014443596e-15       2.746300605122e-13       7.904721472980e-17       4.913791219719e-10       4.082550538850e-11      -7.381093694844e-14 
   20       1.497617704144e-10       1.388752610459e-15       2.930759672199e-13       8.741461178183e-17       4.528259993990e-10       3.785547453143e-11      -7.392472628094e-14 
   21       1.485347293373e-10       1.487756443201e-15       3.102660031177e-13       9.620544482699e-17       4.186965439134e-10       3.521387419405e-11      -6.537150316033e-14 
   22       1.475355588357e-10       1.605889883757e-15       3.261555932872e-13       1.054196335684e-16       3.882354247727e-10       3.281519830069e-11      -5.170789797195e-14 
   23       1.467549304070e-10       1.763961640622e-15       3.409495415470e-13       1.150570718022e-16       3.610606050236e-10       3.063026811101e-11      -3.604030708100e-14 
   24       1.461471548680e-10       1.980210462377e-15       3.550200761480e-13       1.251176076233e-16       3.365757339274e-10       2.862751988085e-11      -2.159649306415e-14 
   25       1.457283801544e-10       2.253988589686e-15       3.687817103175e-13       1.356011104470e-16       3.145196908153e-10       2.681770635146e-11      -1.024640997712e-14 
   26       1.455006117180e-10       2.577008571220e-15       3.826489118974e-13       1.465074469440e-16       2.945203680505e-10       2.520225206683e-11      -3.291451466487e-15 
   27       1.454425824862e-10       2.943284921701e-15       3.966613148136e-13       1.578365396028e-16       2.763580836906e-10       2.374420121076e-11      -8.293753967482e-16 
   28       1.455102712457e-10       3.347315222024e-15       4.106816451139e-13       1.695883510848e-16       2.597392813014e-10       2.238755997817e-11      -2.335817507807e-15 
   29       1.457166863667e-10       3.789087415754e-15       4.243959469508e-13       1.817629513719e-16       2.445926402950e-10       2.113024048821e-11      -6.886821820805e-15 
   30       1.460725360494e-10       4.270136978627e-15       4.373551870797e-13       1.943604793375e-16       2.307690169196e-10       1.997793592939e-11      -1.311630204782e-14 
   31       1.465693871491e-10       4.791268719190e-15       4.490380951470e-13       2.073811417658e-16       2.180024082764e-10       1.892592702675e-11      -1.943635982967e-14 
   32       1.472110919531e-10       5.350317252928e-15       4.590229108776e-13       2.208252571451e-16       2.062364771406e-10       1.796408868099e-11      -2.491865471851e-14 
   33       1.479895604814e-10       5.943429508917e-15       4.668703157534e-13       2.346932435326e-16       1.953966559406e-10       1.707157075115e-11      -2.871570870256e-14 
   34       1.488851748165e-10       6.567407265169e-15       4.721691584099e-13       2.489856057053e-16       1.853412971947e-10       1.622323114580e-11      -3.006414906648e-14 
   35       1.499050460699e-10       7.226126492032e-15       4.748648237027e-13       2.637028973994e-16       1.760256765036e-10       1.542082973445e-11      -2.912130032446e-14 
   36       1.510553789298e-10       7.926453176820e-15       4.750500720811e-13       2.788457600428e-16       1.673817248156e-10       1.467177488634e-11      -2.643461206975e-14 
   37       1.523335854275e-10       8.675420614890e-15       4.728702809844e-13       2.944148930566e-16       1.593045580921e-10       1.398003221660e-11      -2.266703988674e-14 
   38       1.537404049774e-10       9.476006659217e-15       4.684782821444e-13       3.104108902461e-16       1.517778481854e-10       1.334430458709e-11      -1.836338719944e-14 
   39       1.552698504589e-10       1.033001184386e-14       4.620716045179e-13       3.268343584525e-16       1.447817890412e-10       1.275861595648e-11      -1.412365304244e-14 
   40       1.569046376400e-10       1.123918155074e-14       4.539093393450e-13       3.436859664047e-16       1.382548243392e-10       1.221230078859e-11      -1.067573239209e-14 
   41       1.586238874669e-10       1.220498545704e-14       4.442373507983e-13       3.609663698227e-16       1.321161440927e-10       1.169342082112e-11      -8.688892023468e-15 
   42       1.604317378786e-10       1.322788573343e-14       4.330257225848e-13       3.786759479808e-16       1.263508248382e-10       1.120128747166e-11      -8.122290031745e-15 
   43       1.623363031206e-10       1.430781927290e-14       4.201520757333e-13       3.968149879824e-16       1.209462141261e-10       1.073736167342e-11      -8.677597205902e-15 
   44       1.643413128860e-10       1.544436989097e-14       4.054710236358e-13       4.153837547021e-16       1.158663029614e-10       1.030167549683e-11      -9.969662373872e-15 
   45       1.664471858439e-10       1.663705278592e-14       3.888207405049e-13       4.343824203662e-16       1.110653117554e-10       9.893137936958e-12      -1.158300508721e-14 
   46       1.686556588622e-10       1.788631986477e-14       3.700490282549e-13       4.538108318249e-16       1.065377191733e-10       9.510860773134e-12      -1.327447019211e-14 
   47       1.709658011806e-10       1.919281849242e-14       3.489921408946e-13       4.736686710785e-16       1.022799939386e-10       9.153012908111e-12      -1.482174857650e-14 
   48       1.733722862609e-10       2.055710795210e-14       3.254659893791e-13       4.939555127452e-16       9.827546593349e-11       8.816322398760e-12      -1.596470292136e-14 
   49       1.758650433279e-10       2.197965561833e-14       2.992649122979e-13       5.146708185519e-16       9.449333798043e-11       8.495974298214e-12      -1.640340762109e-14 
   50       1.784330743151e-10       2.346090552839e-14       2.702173525008e-13       5.358139297477e-16       9.089835691290e-11       8.187029311233e-12      -1.589654033467e-14 
   51       1.810779345491e-10       2.500151491828e-14       2.383735555004e-13       5.573840547014e-16       8.748521419575e-11       7.889370736239e-12      -1.459258931987e-14 
   52       1.838033089121e-10       2.660217527650e-14       2.038666947382e-13       5.793802684133e-16       8.425177476846e-11       7.603923728670e-12      -1.278516046824e-14 
   53       1.866110174299e-10       2.826354514711e-14       1.668618328393e-13       6.018015088215e-16       8.118875881407e-11       7.331221984253e-12      -1.082318003354e-14 
   54       1.895008628324e-10       2.998624970966e-14       1.275573702269e-13       6.246465711943e-16       7.827925515448e-11       7.071377148840e-12      -9.113656981856e-15 
   55       1.924715715074e-10       3.177081489140e-14       8.613597129942e-14       6.479142153739e-16       7.550414261346e-11       6.824205193248e-12      -8.025584558445e-15 
   56       1.955242393204e-10       3.361745149871e-14       4.259974829559e-14       6.716035315529e-16       7.286104599652e-11       6.589712380693e-12      -7.567360787472e-15 
   57       1.986594748004e-10       3.552621672351e-14      -3.103329075115e-15       6.957136555420e-16       7.034923685707e-11       6.367676443012e-12      -7.634070772424e-15 
   58       2.018762732965e-10       3.749707200662e-14      -5.103300692571e-14       7.202436626947e-16       6.796388726595e-11       6.157476250856e-12      -8.098260821474e-15 
   59       2.051719071373e-10       3.952988006700e-14      -1.012572669840e-13       7.451925666968e-16       6.569581338732e-11       5.958067339038e-12      -8.808849078772e-15 
