# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.711351518652e-10       7.304409082811e-15       5.627930898334e-13       0.000000000000e+00       9.016965047610e-09       4.719327237186e-10      -2.512092985783e-12 
    3       1.622264117536e-10       1.237092033678e-14       7.048629947152e-13       0.000000000000e+00       5.555241318387e-09       3.403123979456e-10      -2.210111680336e-12 
    4       1.526021288079e-10       1.444574205563e-14       7.304199543957e-13       0.000000000000e+00       3.872882046309e-09       2.609581943799e-10      -1.763385479482e-12 
    5       1.444757920119e-10       1.336146400422e-14       6.866912779070e-13       0.000000000000e+00       2.898871340463e-09       2.081725001464e-10      -1.309173897831e-12 
    6       1.380475562573e-10       1.031400845276e-14       6.070034973819e-13       0.000000000000e+00       2.270429363765e-09       1.707011832978e-10      -8.949388460332e-13 
    7       1.330920015394e-10       6.841860531269e-15       5.143836665622e-13       0.000000000000e+00       1.836370664981e-09       1.428841667672e-10      -5.448723223447e-13 
    8       1.293256575513e-10       4.049776356521e-15       4.229820594315e-13       0.000000000000e+00       1.521278461046e-09       1.215381962247e-10      -2.697887335654e-13 
    9       1.265113515715e-10       2.346549501199e-15       3.413622008453e-13       0.000000000000e+00       1.283625731670e-09       1.047290220960e-10      -7.132620565752e-14 
   10       1.244406978284e-10       1.580500342985e-15       2.744198681306e-13       0.000000000000e+00       1.099052727426e-09       9.124587477484e-11       5.586074275086e-14 
   11       1.229816857727e-10       1.351529525733e-15       2.242647115634e-13       0.000000000000e+00       9.246216048537e-10       8.041103066307e-11       1.214277369867e-13 
   12       1.220186650526e-10       1.291847455938e-15       1.907759885922e-13       0.000000000000e+00       8.091623230829e-10       7.120176005675e-11       1.399944264148e-13 
   13       1.214290078225e-10       1.205503232166e-15       1.721482903154e-13       0.000000000000e+00       7.142772136950e-10       6.367058290994e-11       1.253954158309e-13 
   14       1.211184769499e-10       1.065033939979e-15       1.656062030206e-13       0.000000000000e+00       6.352438536441e-10       5.712345696471e-11       9.039751448823e-14 
   15       1.210906053831e-10       9.294280899626e-16       1.679768985629e-13       0.000000000000e+00       5.686479298625e-10       5.165179508328e-11       4.726023123537e-14 
   16       1.212975504307e-10       8.582950603956e-16       1.759809853783e-13       0.000000000000e+00       5.119666152372e-10       4.700835489101e-11       5.079071207035e-15 
   17       1.216578778533e-10       8.675682078215e-16       1.868008173902e-13       0.000000000000e+00       4.632931198287e-10       4.299139301803e-11      -2.981709869286e-14 
   18       1.221740094260e-10       9.292227049342e-16       1.983953685987e-13       0.000000000000e+00       4.210028793754e-10       3.941553680727e-11      -5.390580937608e-14 
   19       1.228564007430e-10       1.011097883083e-15       2.096148901680e-13       0.000000000000e+00       3.844403694540e-10       3.625430476092e-11      -6.632363234011e-14 
   20       1.236427374476e-10       1.080769821081e-15       2.194655512702e-13       0.000000000000e+00       3.522055929696e-10       3.345819504035e-11      -6.792043935406e-14 
   21       1.245458911673e-10       1.142308146392e-15       2.278874511585e-13       0.000000000000e+00       3.238005881764e-10       3.098299005350e-11      -6.087189820247e-14 
   22       1.255629853421e-10       1.214938090132e-15       2.352167296369e-13       0.000000000000e+00       2.985543389920e-10       2.874590071329e-11      -4.857243507054e-14 
   23       1.266837253967e-10       1.318012518200e-15       2.418479122329e-13       0.000000000000e+00       2.761255305077e-10       2.671671300015e-11      -3.400489536804e-14 
   24       1.278736086384e-10       1.469627826208e-15       2.482575371573e-13       0.000000000000e+00       2.560011395125e-10       2.486312332843e-11      -2.029624143623e-14 
   25       1.291497455543e-10       1.669870990542e-15       2.548664731558e-13       0.000000000000e+00       2.379487369134e-10       2.319471115686e-11      -9.287243722811e-15 
   26       1.305227609770e-10       1.911492703352e-15       2.620424671079e-13       0.000000000000e+00       2.216458382715e-10       2.171332265725e-11      -2.296716352095e-15 
   27       1.319731977720e-10       2.188310992369e-15       2.697945871510e-13       0.000000000000e+00       2.069000092072e-10       2.038486189539e-11       5.067390382367e-16 
   28       1.334635102193e-10       2.494288936847e-15       2.779500728607e-13       0.000000000000e+00       1.934600786236e-10       1.915718503347e-11      -4.581406244484e-16 
   29       1.350041511319e-10       2.829098966077e-15       2.861968006095e-13       0.000000000000e+00       1.812594557266e-10       1.802639531364e-11      -4.360371732882e-15 
   30       1.366088782985e-10       3.194068306962e-15       2.940879863080e-13       0.000000000000e+00       1.701691818807e-10       1.699493309425e-11      -9.944722707632e-15 
   31       1.382793164394e-10       3.589883650838e-15       3.011000410795e-13       0.000000000000e+00       1.599655031288e-10       1.605574481241e-11      -1.574372132895e-14 
   32       1.400184057251e-10       4.014448019017e-15       3.068423020441e-13       0.000000000000e+00       1.505971829289e-10       1.519935444974e-11      -2.088242067948e-14 
   33       1.418189155706e-10       4.464117073326e-15       3.109154850003e-13       0.000000000000e+00       1.419993040839e-10       1.440747371359e-11      -2.454836341049e-14 
   34       1.436663805449e-10       4.935782094361e-15       3.129410786423e-13       0.000000000000e+00       1.340531136801e-10       1.365784250032e-11      -2.600005073095e-14 
   35       1.455673458857e-10       5.432443617824e-15       3.128676565189e-13       0.000000000000e+00       1.267189534553e-10       1.295124258407e-11      -2.535330570945e-14 
   36       1.475291475680e-10       5.959661567025e-15       3.107749874847e-13       0.000000000000e+00       1.199389855128e-10       1.229305258349e-11      -2.308139550134e-14 
   37       1.495530738432e-10       6.523157279082e-15       3.067863882529e-13       0.000000000000e+00       1.136261243350e-10       1.168566201991e-11      -1.976384287074e-14 
   38       1.516394578216e-10       7.125336055983e-15       3.010307178060e-13       0.000000000000e+00       1.077647246783e-10       1.112796004484e-11      -1.589295680422e-14 
   39       1.537829127302e-10       7.767661010233e-15       2.936737007076e-13       0.000000000000e+00       1.023367866507e-10       1.061511782908e-11      -1.201882156542e-14 
   40       1.559700047636e-10       8.451579959027e-15       2.849321062487e-13       0.000000000000e+00       9.729130819320e-11       1.013829833306e-11      -8.810589238991e-15 
   41       1.581852896718e-10       9.178296436239e-15       2.750114721775e-13       0.000000000000e+00       9.256220421041e-11       9.687468370381e-12      -6.887137553691e-15 
   42       1.604335951529e-10       9.948001228535e-15       2.638874248054e-13       0.000000000000e+00       8.813601216880e-11       9.261737493554e-12      -6.225061304047e-15 
   43       1.627237253805e-10       1.076038497010e-14       2.514584007209e-13       0.000000000000e+00       8.400137297769e-11       8.861823419824e-12      -6.570342442475e-15 
   44       1.650620172139e-10       1.161482359161e-14       2.376035231568e-13       0.000000000000e+00       8.012870308099e-11       8.487081827298e-12      -7.593709350690e-15 
   45       1.674522409665e-10       1.251064962905e-14       2.221882218975e-13       0.000000000000e+00       7.648086402618e-11       8.135944883614e-12      -8.937812562000e-15 
   46       1.698959422642e-10       1.344810741110e-14       2.050863936157e-13       0.000000000000e+00       7.305240014138e-11       7.807669465822e-12      -1.038691460945e-14 
   47       1.723917151907e-10       1.442765128545e-14       1.861624866066e-13       0.000000000000e+00       6.983955889720e-11       7.500912145621e-12      -1.173974191605e-14 
   48       1.749347555027e-10       1.544967807157e-14       1.652640878127e-13       0.000000000000e+00       6.682845049382e-11       7.213135758683e-12      -1.276012662218e-14 
   49       1.775165849978e-10       1.651452487411e-14       1.422209279159e-13       0.000000000000e+00       6.399429253030e-11       6.940524164260e-12      -1.317518670791e-14 
   50       1.801283744017e-10       1.762247869289e-14       1.168914149369e-13       0.000000000000e+00       6.130892758662e-11       6.679096962300e-12      -1.276325937961e-14 
