# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.521122548480e-10       7.290734417109e-15       4.918236910003e-13       2.475360823341e-19       8.850394636858e-09       4.837241825891e-10      -2.509680597779e-12 
    3       1.435016888178e-10       1.234506942959e-14       6.183837896608e-13       4.953073699100e-19       5.435069059489e-09       3.453216152127e-10      -2.207491667357e-12 
    4       1.348966312227e-10       1.441381767369e-14       6.398287200403e-13       8.260267038359e-19       3.779040212303e-09       2.631249679046e-10      -1.760944074148e-12 
    5       1.280125923557e-10       1.332994704707e-14       5.995175335964e-13       1.239985026760e-18       2.821844177023e-09       2.089436805204e-10      -1.307049717663e-12 
    6       1.228835817223e-10       1.028663356109e-14       5.279097581358e-13       1.737527266034e-18       2.205169504133e-09       1.707164756045e-10      -8.931488038421e-13 
    7       1.192230979744e-10       6.819584723026e-15       4.457231918875e-13       2.319040938223e-18       1.779828013796e-09       1.424693315065e-10      -5.433528324958e-13 
    8       1.167164299740e-10       4.032403235942e-15       3.654374183139e-13       2.984943520878e-18       1.471490818541e-09       1.208692645859e-10      -2.684296449374e-13 
    9       1.151196232413e-10       2.334031387510e-15       2.944697726311e-13       3.735669090433e-18       1.239278658191e-09       1.039066183562e-10      -7.000371670388e-14 
   10       1.142194133564e-10       1.573037239593e-15       2.369928431020e-13       4.571654752499e-18       1.059213049968e-09       9.033297235523e-11       5.725546956244e-14 
   11       1.138772262897e-10       1.348784573776e-15       1.947338651306e-13       5.493327396933e-18       8.930086008683e-10       7.959454301835e-11       1.229446848773e-13 
   12       1.139840226136e-10       1.292207246943e-15       1.674369005890e-13       6.501091294462e-18       7.804400436010e-10       7.037330191493e-11       1.416882221663e-13 
   13       1.144191780701e-10       1.206099904297e-15       1.533269536061e-13       7.595317015113e-18       6.880213818526e-10       6.283907249594e-11       1.272533497723e-13 
   14       1.150848948467e-10       1.062559180169e-15       1.497713879371e-13       8.776332092639e-18       6.111162738321e-10       5.630471613120e-11       9.236599933863e-14 
   15       1.159869068885e-10       9.212233216190e-16       1.538017436641e-13       1.004441378584e-17       5.463742422435e-10       5.084530584439e-11       4.924981579927e-14 
   16       1.170856339422e-10       8.430591494159e-16       1.623647230312e-13       1.139978420024e-17       4.913214460285e-10       4.621747282476e-11       6.987089978929e-15 
   17       1.182980783305e-10       8.452995301120e-16       1.728712513423e-13       1.284260793529e-17       4.440890901772e-10       4.222065193357e-11      -2.809074846173e-14 
   18       1.196277351114e-10       9.005602497650e-16       1.834971606509e-13       1.437299108143e-17       4.030881684080e-10       3.866850422626e-11      -5.244300827545e-14 
   19       1.210830229301e-10       9.762816132765e-16       1.932474601177e-13       1.599099017359e-17       3.676699148000e-10       3.553212142973e-11      -6.517956090101e-14 
   20       1.226076529265e-10       1.039140950148e-15       2.013178393517e-13       1.769660384072e-17       3.364709209505e-10       3.275971556078e-11      -6.711469276473e-14 
   21       1.242137312388e-10       1.092285366230e-15       2.077609212832e-13       1.948979820622e-17       3.090024410408e-10       3.030744728330e-11      -6.038850193757e-14 
   22       1.259005494936e-10       1.154032400456e-15       2.130163962676e-13       2.137049691519e-17       2.846085515558e-10       2.809399562448e-11      -4.835800491695e-14 
   23       1.276570618444e-10       1.243635746506e-15       2.175485859883e-13       2.333861133929e-17       2.629547650054e-10       2.608856177770e-11      -3.398021691524e-14 
   24       1.294505889194e-10       1.379437811697e-15       2.218961760352e-13       2.539403055614e-17       2.435414004317e-10       2.425777274056e-11      -2.036360875078e-14 
   25       1.312984098446e-10       1.561813599995e-15       2.265167512581e-13       2.753665657593e-17       2.261408639206e-10       2.261065734923e-11      -9.348370860388e-15 
   26       1.332131610278e-10       1.783795664552e-15       2.318063272013e-13       2.976639208366e-17       2.104389733369e-10       2.114899944445e-11      -2.264884476846e-15 
   27       1.351756465189e-10       2.039053120121e-15       2.377974784973e-13       3.208317130991e-17       1.962478374800e-10       1.983940975788e-11       6.945386249255e-16 
   28       1.371495183842e-10       2.321267360717e-15       2.443367700346e-13       3.448695219827e-17       1.833232196549e-10       1.863070195135e-11      -8.272131104255e-17 
   29       1.391445918336e-10       2.629953008539e-15       2.511232670768e-13       3.697775198825e-17       1.715994161278e-10       1.751867734613e-11      -3.789407558186e-15 
   30       1.411752234028e-10       2.966314834013e-15       2.577152553356e-13       3.955562728182e-17       1.609508440781e-10       1.650510369402e-11      -9.196178067735e-15 
   31       1.432451828315e-10       3.330934848694e-15       2.635902708764e-13       4.222067393635e-17       1.511606669331e-10       1.558241841938e-11      -1.486266035256e-14 
   32       1.453573907482e-10       3.721696618788e-15       2.683601649541e-13       4.497305086831e-17       1.421785601285e-10       1.474137185293e-11      -1.992403098721e-14 
   33       1.475050583651e-10       4.134982485962e-15       2.716255065593e-13       4.781297361524e-17       1.339412286895e-10       1.396431846525e-11      -2.357234494268e-14 
   34       1.496750868371e-10       4.567680551446e-15       2.730038565039e-13       5.074070802210e-17       1.263336595754e-10       1.322966850038e-11      -2.506665414283e-14 
   35       1.518740567350e-10       5.022547042210e-15       2.724383135845e-13       5.375655171684e-17       1.193170767338e-10       1.253797148097e-11      -2.450924991219e-14 
   36       1.541096511845e-10       5.504790003985e-15       2.699996109180e-13       5.686085409091e-17       1.128353455091e-10       1.189408707502e-11      -2.235178014808e-14 
   37       1.563840830408e-10       6.019784988101e-15       2.657999483887e-13       6.005400115752e-17       1.068042887282e-10       1.129995018232e-11      -1.915007937350e-14 
   38       1.586977613796e-10       6.569809558169e-15       2.599631585458e-13       6.333633135836e-17       1.012084263621e-10       1.075442415160e-11      -1.538363133782e-14 
   39       1.610455898158e-10       7.156274688805e-15       2.526502530501e-13       6.670819726370e-17       9.603009548194e-11       1.025284883915e-11      -1.159155113599e-14 
   40       1.634150868772e-10       7.780596852171e-15       2.440712742082e-13       7.016999119497e-17       9.122002045775e-11       9.786664129320e-12      -8.430296036237e-15 
   41       1.657920880603e-10       8.443952790476e-15       2.344254769822e-13       7.372210649460e-17       8.671450296231e-11       9.346136306460e-12      -6.508358188924e-15 
   42       1.681817702036e-10       9.146452334617e-15       2.236912467560e-13       7.736480041377e-17       8.250035284430e-11       8.930385045341e-12      -5.808160157407e-15 
   43       1.705932909375e-10       9.887693151147e-15       2.117728399180e-13       8.109829062195e-17       7.856645183540e-11       8.540074093497e-12      -6.088193310107e-15 
   44       1.730337198021e-10       1.066696258427e-14       1.985560021029e-13       8.492279205604e-17       7.488426798855e-11       8.174529150729e-12      -7.034830227153e-15 
   45       1.755077051598e-10       1.148351082165e-14       1.839129713227e-13       8.883847955485e-17       7.141806311720e-11       7.832175165339e-12      -8.306703404528e-15 
   46       1.780169726892e-10       1.233751162179e-14       1.677224067214e-13       9.284536350959e-17       6.816242183803e-11       7.512274882910e-12      -9.694553381987e-15 
   47       1.805602319390e-10       1.322935715692e-14       1.498531542192e-13       9.694337626655e-17       6.511358343890e-11       7.213514606418e-12      -1.100130743448e-14 
   48       1.831329759448e-10       1.415938942078e-14       1.301574891320e-13       1.011324032995e-16       6.225812150820e-11       6.933416182320e-12      -1.199547519055e-14 
   49       1.857272154960e-10       1.512789842615e-14       1.084701502762e-13       1.054122806308e-16       5.957222497392e-11       6.668253902526e-12      -1.240934903946e-14 
   50       1.883347204072e-10       1.613512287363e-14       8.465350107944e-14       1.097827888958e-16       5.702887633190e-11       6.414138286989e-12      -1.202467293214e-14 
   51       1.909583970430e-10       1.718125655376e-14       5.874970534573e-14       1.142436396230e-16       5.462335135274e-11       6.170807029371e-12      -1.096123785584e-14 
   52       1.936035397573e-10       1.826644056701e-14       3.086818827260e-14       1.187944807715e-16       5.235339821407e-11       5.938719420683e-12      -9.463511632178e-15 
   53       1.962744954983e-10       1.939075935820e-14       1.144295859171e-15       1.234348970894e-16       5.021160617645e-11       5.717951887494e-12      -7.822278753632e-15 
   54       1.989745631107e-10       2.055423903036e-14      -3.025950030633e-14       1.281644073764e-16       4.818505825491e-11       5.508169805934e-12      -6.376956950360e-15 
   55       2.017060423921e-10       2.175685837628e-14      -6.319268514865e-14       1.329825172882e-16       4.625927658471e-11       5.308821064857e-12      -5.436110371436e-15 
   56       2.044706262225e-10       2.299858904537e-14      -9.764807580935e-14       1.378888993806e-16       4.443200195943e-11       5.119837636194e-12      -5.010558646321e-15 
   57       2.072689294678e-10       2.427936240163e-14      -1.336609722082e-13       1.428832529980e-16       4.270222905286e-11       4.941058919737e-12      -5.018024033357e-15 
   58       2.101002549618e-10       2.559905651539e-14      -1.712720864598e-13       1.479652520899e-16       4.106603747764e-11       4.772006142780e-12      -5.358274247414e-15 
   59       2.129624986422e-10       2.695749497259e-14      -2.105279077050e-13       1.531345446376e-16       3.951641170464e-11       4.611862813689e-12      -5.912251881823e-15 
   60       2.158520546879e-10       2.835444568414e-14      -2.514810669425e-13       1.583907520814e-16       3.804306098225e-11       4.459455175478e-12      -6.541203830307e-15 
   61       2.187653131167e-10       2.978958586656e-14      -2.941798733268e-13       1.637335483261e-16       3.663527929154e-11       4.313568448784e-12      -7.115263588015e-15 
   62       2.217037600016e-10       3.126239049234e-14      -3.386333531285e-13       1.691629187768e-16       3.529168275917e-11       4.174022729554e-12      -7.608664656065e-15 
   63       2.246698589263e-10       3.277221657426e-14      -3.848389750799e-13       1.746789586941e-16       3.401234830195e-11       4.040805001709e-12      -8.024451213450e-15 
   64       2.276655160846e-10       3.431833256537e-14      -4.327928072704e-13       1.802818006587e-16       3.279588449215e-11       3.913745941920e-12      -8.366973787913e-15 
   65       2.306920359453e-10       3.589991609494e-14      -4.824895383969e-13       1.859716165239e-16       3.163934793489e-11       3.792511027527e-12      -8.641953195461e-15 
   66       2.337500769162e-10       3.751605170443e-14      -5.339224990144e-13       1.917486193667e-16       3.053815964555e-11       3.676591644459e-12      -8.856544479880e-15 
   67       2.368396070079e-10       3.916572858347e-14      -5.870836827857e-13       1.976130654400e-16       2.948602142712e-11       3.565296195146e-12      -9.019400852246e-15 
   68       2.399603685710e-10       4.084793398041e-14      -6.419624665452e-13       2.035652442143e-16       2.847659916041e-11       3.457942938037e-12      -9.139936224640e-15 
   69       2.431134809589e-10       4.256196047389e-14      -6.985414218262e-13       2.096054417981e-16       2.750915566402e-11       3.354503756553e-12      -9.225796366166e-15 
   70       2.463000844518e-10       4.430715718145e-14      -7.567996889142e-13       2.157339735777e-16       2.658391422096e-11       3.255075459891e-12      -9.284987845920e-15 
   71       2.495208291626e-10       4.608283977332e-14      -8.167141911293e-13       2.219511970889e-16       2.570035490940e-11       3.159685927325e-12      -9.326676765297e-15 
   72       2.527758437214e-10       4.788829065537e-14      -8.782596227986e-13       2.282575136644e-16       2.485717616962e-11       3.068290375497e-12      -9.361232201189e-15 
   73       2.560647039588e-10       4.972275915195e-14      -9.414084372278e-13       2.346533700809e-16       2.405225637100e-11       2.980767625708e-12      -9.400269649191e-15 
