# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494733347915e-10       7.288770190425e-15       4.814031616715e-13       2.378504733348e-19       8.828212366169e-09       4.855043888349e-10      -2.509342625482e-12 
    3       1.409041539679e-10       1.234136356071e-14       6.056962093079e-13       4.759324253042e-19       5.419128382848e-09       3.461018011970e-10      -2.207125755726e-12 
    4       1.324481079774e-10       1.440921974567e-14       6.265462724546e-13       7.937269546997e-19       3.766615989151e-09       2.634847364916e-10      -1.760604356196e-12 
    5       1.257469710403e-10       1.332534385670e-14       5.867423455195e-13       1.191520328040e-18       2.811659650173e-09       2.090959746500e-10      -1.306755283132e-12 
    6       1.208100109862e-10       1.028251457768e-14       5.163226606086e-13       1.669651870232e-18       2.196550983830e-09       1.707555455975e-10      -8.929013770442e-13 
    7       1.173415586892e-10       6.816051178531e-15       4.356663530843e-13       2.228502717342e-18       1.772369237358e-09       1.424432274978e-10      -5.431426416394e-13 
    8       1.150221358188e-10       4.029409016618e-15       3.570088618294e-13       2.868483353455e-18       1.464930812538e-09       1.208039407367e-10      -2.682403854687e-13 
    9       1.136066199532e-10       2.331567354291e-15       2.876009894699e-13       3.590020424337e-18       1.233442588053e-09       1.038170031254e-10      -6.981741211880e-14 
   10       1.128810559776e-10       1.571136223438e-15       2.315106973253e-13       4.393543347713e-18       1.053976534830e-09       9.022857992685e-11       5.745423551511e-14 
   11       1.127057185652e-10       1.347399173090e-15       1.904101940805e-13       5.279471245943e-18       8.888096140710e-10       7.950062058456e-11       1.231626478985e-13 
   12       1.129725532848e-10       1.291098588007e-15       1.640242557760e-13       6.248200711502e-18       7.766277243205e-10       7.027633319234e-11       1.419322864530e-13 
   13       1.135611116455e-10       1.204841854163e-15       1.505824666168e-13       7.300094879546e-18       6.845388927098e-10       6.274032266233e-11       1.275210491723e-13 
   14       1.143731065059e-10       1.060659022249e-15       1.474732816087e-13       8.435474226419e-18       6.079183120649e-10       5.620666853464e-11       9.264908174994e-14 
   15       1.154144889813e-10       9.182814320032e-16       1.517580140706e-13       9.654609440621e-18       5.434240489006e-10       5.074809926361e-11       4.953501300233e-14 
   16       1.166469590441e-10       8.388728450715e-16       1.604158597104e-13       1.095771662623e-17       4.885888263292e-10       4.612163858857e-11       7.259373491323e-15 
   17       1.179870936792e-10       8.398546037388e-16       1.708905781945e-13       1.234495500188e-17       4.415489419606e-10       4.212675753923e-11      -2.784582263535e-14 
