# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.478815463858e-10       7.382203319510e-15       8.102557522739e-13       1.231390720294e-18       1.004799439310e-08       4.380703299514e-10      -2.525938115556e-12 
    3       2.401351847294e-10       1.251964848752e-14       1.016398809860e-12       2.463252161946e-18       6.324258507398e-09       3.284925153752e-10      -2.225371405448e-12 
    4       2.279738923746e-10       1.463422675880e-14       1.062103918767e-12       4.106450274501e-18       4.483793317179e-09       2.585445640570e-10      -1.778014429671e-12 
    5       2.161559840701e-10       1.355268137468e-14       1.008499693266e-12       6.161568650971e-18       3.405961363053e-09       2.103481203628e-10      -1.322362955219e-12 
    6       2.057019618147e-10       1.048284309055e-14       8.995944005279e-13       8.629300341562e-18       2.703950181836e-09       1.752784142642e-10      -9.064582132511e-13 
    7       1.966944666520e-10       6.978656314859e-15       7.673140067346e-13       1.151042569512e-17       2.214906736023e-09       1.487167923220e-10      -5.548861474780e-13 
    8       1.889899901107e-10       4.154727811606e-15       6.325806682075e-13       1.480578779057e-17       1.856915146354e-09       1.280241353094e-10      -2.787116170515e-13 
    9       1.823881517302e-10       2.423410779697e-15       5.088691950666e-13       1.851626642196e-17       1.584544552936e-09       1.115612317635e-10      -7.968402275823e-14 
   10       1.767039046673e-10       1.634198736789e-15       4.043764928321e-13       2.264275165349e-17       1.371118578162e-09       9.824372462154e-11       4.755807334246e-14 
   11       1.718214781037e-10       1.389415671363e-15       3.231269089192e-13       2.718611797238e-17       1.119319887881e-09       8.633312823670e-11       1.129377645569e-13 
   12       1.676024900292e-10       1.325463982964e-15       2.658129347574e-13       3.214720003712e-17       9.865494510880e-10       7.701815312940e-11       1.309236988464e-13 
   13       1.639173874578e-10       1.250073761094e-15       2.306260137733e-13       3.752677094766e-17       8.768890022062e-10       6.936162068604e-11       1.157020915016e-13 
   14       1.606768086368e-10       1.136244412443e-15       2.141962583691e-13       4.332552385560e-17       7.851010234009e-10       6.263702466854e-11       8.021318881862e-14 
   15       1.578751632859e-10       1.039201566745e-15       2.123948936447e-13       4.954405759043e-17       7.073875829549e-10       5.699898341224e-11       3.688708460946e-14 
   16       1.554364942351e-10       1.011993125759e-15       2.208214163592e-13       5.618286680891e-17       6.409329966475e-10       5.218871422767e-11      -5.090528771095e-15 
   17       1.532809433880e-10       1.064172230224e-15       2.355013725256e-13       6.324233698466e-17       5.836035788842e-10       4.799778697678e-11      -3.936350049229e-14 
   18       1.514073556949e-10       1.163991454957e-15       2.532928973362e-13       7.072274198796e-17       5.335537644383e-10       4.423756184092e-11      -6.244868996338e-14 
