# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.767542634416e-09       6.521683745775e-15      -2.997005592844e-12       6.008473744034e-19       8.593003319984e-09       1.439511681050e-09      -2.385147079468e-12 
    3       7.323595421673e-10       1.127358974035e-14      -2.230620126358e-12       1.201956258406e-18       5.276396762070e-09       7.117108119174e-10      -2.109307308120e-12 
    4       2.866787133451e-10       1.327475319145e-14      -1.581215710695e-12       2.003833397054e-18       3.670371869275e-09       4.466960521592e-10      -1.682962414089e-12 
    5       1.437664283341e-10       1.228199336266e-14      -1.073442562802e-12       3.006805053700e-18       2.743136053558e-09       3.160869248196e-10      -1.244088235136e-12 
    6       9.232338034977e-11       9.411681145370e-15      -6.905710291045e-13       4.211260503782e-18       2.146259451521e-09       2.397366698210e-10      -8.415691258869e-13 
    7       7.486307552880e-11       6.142761147757e-15      -4.125939490654e-13       5.617640748273e-18       1.734905413919e-09       1.902535069141e-10      -5.004113280702e-13 
    8       7.136411979393e-11       3.546510488958e-15      -2.178250194050e-13       7.226425994923e-18       1.436824369667e-09       1.558393533288e-10      -2.320310523030e-13 
    9       7.383633938747e-11       2.014497573096e-15      -8.611472723340e-14       9.038122396095e-18       1.212216051158e-09       1.306603492344e-10      -3.854999348641e-14 
   10       7.876508966137e-11       1.385047538887e-15      -4.730118102974e-17       1.105324855895e-17       1.037835271361e-09       1.115627387464e-10       8.497086882810e-14 
   11       8.454011015655e-11       1.251650678311e-15       5.454313809173e-14       1.327232234979e-17       8.650821314450e-10       9.669945425765e-11       1.471134916981e-13 
   12       9.045847213567e-11       1.244232525484e-15       8.838717876079e-14       1.569584849928e-17       7.566393486374e-10       8.482650006449e-11       1.638096884309e-13 
   13       9.613819901939e-11       1.170095948184e-15       1.090270345962e-13       1.832430747958e-17       6.676120651917e-10       7.527159250565e-11       1.477704551332e-13 
   14       1.013727548969e-10       1.010353990341e-15       1.215447158314e-13       2.115814606973e-17       5.935300695529e-10       6.721007776303e-11       1.116459407380e-13 
   15       1.061893131238e-10       8.356649810968e-16       1.292226416298e-13       2.419776995398e-17       5.311581339727e-10       6.051311182133e-11       6.744676520287e-14 
   16       1.106090445030e-10       7.173079841959e-16       1.339417654930e-13       2.744353861244e-17       4.781117171261e-10       5.488957681579e-11       2.421304110774e-14 
   17       1.145958785000e-10       6.802949389061e-16       1.368642146893e-13       3.089576266729e-17       4.325911460267e-10       5.009566868039e-11      -1.175712316457e-14 
   18       1.182212498586e-10       7.019545347368e-16       1.389702369033e-13       3.455470254743e-17       3.930620056407e-10       4.588683309622e-11      -3.695074296310e-14 
   19       1.215292313149e-10       7.512069282045e-16       1.408415347258e-13       3.842057681380e-17       3.589116068369e-10       4.220308921643e-11      -5.050509996744e-14 
   20       1.245365364255e-10       7.947167831932e-16       1.430025024975e-13       4.249355372471e-17       3.288163972251e-10       3.895178329259e-11      -5.328386391524e-14 
