# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495389892928e-10       7.293053520034e-15       4.816393849395e-13       0.000000000000e+00       8.854927668951e-09       4.865586273063e-10      -2.510188715711e-12 
    3       1.409873842173e-10       1.234962820578e-14       6.061177580201e-13       0.000000000000e+00       5.437996931269e-09       3.470157478029e-10      -2.208056009906e-12 
    4       1.325525043062e-10       1.441947577535e-14       6.271184342238e-13       0.000000000000e+00       3.781150281899e-09       2.642861191248e-10      -1.761479776708e-12 
    5       1.258764631834e-10       1.333520131932e-14       5.874182811315e-13       0.000000000000e+00       2.823436112732e-09       2.098055708069e-10      -1.307514546719e-12 
    6       1.209682530035e-10       1.029034644584e-14       5.170545857726e-13       0.000000000000e+00       2.206403666777e-09       1.713884830248e-10      -8.935224964252e-13 
    7       1.175313665462e-10       6.821268504516e-15       4.364160463118e-13       0.000000000000e+00       1.780806437205e-09       1.430116925982e-10      -5.436319454777e-13 
    8       1.152466119189e-10       4.032102264297e-15       3.577516505077e-13       0.000000000000e+00       1.472280417119e-09       1.213181362367e-10      -2.686235043384e-13 
    9       1.138679359844e-10       2.332036426902e-15       2.883288272278e-13       0.000000000000e+00       1.239923259132e-09       1.042849331302e-10      -7.013017607230e-14 
   10       1.131806448292e-10       1.569640821513e-15       2.322326281143e-13       0.000000000000e+00       1.059741947955e-09       9.065643845831e-11       5.717437361951e-14 
   11       1.130454079785e-10       1.344174426368e-15       1.911465892215e-13       0.000000000000e+00       8.936483464387e-10       7.988685467131e-11       1.228884169087e-13 
   12       1.133532837575e-10       1.286479978988e-15       1.648018907520e-13       0.000000000000e+00       7.809931763990e-10       7.063155594198e-11       1.416343710774e-13 
   13       1.139839076356e-10       1.199319459770e-15       1.514304645450e-13       0.000000000000e+00       6.885018736763e-10       6.306838428231e-11       1.271893433358e-13 
   14       1.148386874226e-10       1.054793249520e-15       1.484191284215e-13       0.000000000000e+00       6.115352882530e-10       5.651040960551e-11       9.228167216464e-14 
