# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.497425059580e-10       7.308041684965e-15       4.823749995639e-13       2.686023506795e-19       8.928950895854e-09       4.896030310945e-10      -2.513000256705e-12 
    3       1.412510706037e-10       1.237892258010e-14       6.074352749524e-13       5.374495863984e-19       5.489952249902e-09       3.496387926584e-10      -2.211165199775e-12 
    4       1.328858719619e-10       1.445722790991e-14       6.289042035166e-13       8.962850442456e-19       3.821029287664e-09       2.665749319590e-10      -1.764433785327e-12 
    5       1.262895664434e-10       1.337385696499e-14       5.895179884292e-13       1.345412028822e-18       2.855646784923e-09       2.118238210783e-10      -1.310105467517e-12 
    6       1.214702512275e-10       1.032447434658e-14       5.193109477327e-13       1.885190465028e-18       2.233270250616e-09       1.731823872757e-10      -8.956646871584e-13 
    7       1.181292153367e-10       6.848772403752e-15       4.387016576415e-13       2.516025220218e-18       1.803746229102e-09       1.446184183730e-10      -5.453286297191e-13 
    8       1.159478294802e-10       4.053377497758e-15       3.599834018437e-13       3.238353157083e-18       1.492209776932e-09       1.227679575215e-10      -2.699406390698e-13 
    9       1.146776838533e-10       2.348551172736e-15       2.904776590626e-13       4.052629425756e-18       1.257453798355e-09       1.056010161867e-10      -7.117014492182e-14 
   10       1.141021630304e-10       1.582983548796e-15       2.343225114307e-13       4.959313531754e-18       1.075301605835e-09       9.185651321052e-11       5.629817926532e-14 
   11       1.140831300465e-10       1.355835421844e-15       1.932372971992e-13       5.958855722743e-18       9.069903137849e-10       8.097485342922e-11       1.220864985090e-13 
   12       1.145093887839e-10       1.298038010035e-15       1.669743217059e-13       7.051684221458e-18       7.930153982870e-10       7.163052994692e-11       1.408094678656e-13 
   13       1.152608644922e-10       1.212567221757e-15       1.537732454936e-13       8.238193795105e-18       6.994024110322e-10       6.398936018065e-11       1.262972762406e-13 
   14       1.162381470863e-10       1.071574922797e-15       1.510169050717e-13       9.518736094754e-18       6.214720083382e-10       5.736136273820e-11       9.130262616801e-14 
   15       1.174468136205e-10       9.343762170662e-16       1.557545740714e-13       1.089361212380e-17       5.558414368329e-10       5.181919362767e-11       4.809642997307e-14 
   16       1.188476767683e-10       8.612658719657e-16       1.649446187877e-13       1.236306710569e-17       5.000122873783e-10       4.711811315411e-11       5.788988311781e-15 
   17       1.203568399615e-10       8.687485788521e-16       1.760077201967e-13       1.392728792140e-17       4.520967173696e-10       4.305563434629e-11      -2.927123746158e-14 
   18       1.219772997032e-10       9.289622301853e-16       1.871384437235e-13       1.558640192486e-17       4.104885909684e-10       3.944387770545e-11      -5.354087084729e-14 
   19       1.237169064210e-10       1.009436649627e-15       1.973507566799e-13       1.734048588045e-17       3.745335452617e-10       3.625407140659e-11      -6.613736449138e-14 
   20       1.255199854495e-10       1.077227890237e-15       2.058522999821e-13       1.918955733315e-17       3.428517979662e-10       3.343367906788e-11      -6.789031448020e-14 
   21       1.273982609476e-10       1.136026868842e-15       2.127087811606e-13       2.113360029041e-17       3.149497104425e-10       3.093792774310e-11      -6.096148929759e-14 
   22       1.293509620261e-10       1.204764054530e-15       2.183763500698e-13       2.317255494165e-17       2.901634450055e-10       2.868392586283e-11      -4.873511717597e-14 
   23       1.313665666428e-10       1.302880277538e-15       2.233290909517e-13       2.530634828748e-17       2.681549345113e-10       2.664096132636e-11      -3.419149949917e-14 
   24       1.334123188448e-10       1.448718848178e-15       2.281147487821e-13       2.753488380597e-17       2.484181503332e-10       2.477592633299e-11      -2.046035923659e-14 
   25       1.355057348685e-10       1.642517036435e-15       2.331986482579e-13       2.985807726888e-17       2.307229472086e-10       2.309808213273e-11      -9.389599406192e-15 
   26       1.376599329940e-10       1.877123231000e-15       2.389834270070e-13       3.227584410702e-17       2.147510318168e-10       2.160899890727e-11      -2.309773433259e-15 
   27       1.398549117997e-10       2.146232259485e-15       2.455007364762e-13       3.478813083933e-17       2.003121965350e-10       2.027434789744e-11       5.952754403251e-16 
   28       1.420534026972e-10       2.443617219917e-15       2.525930709656e-13       3.739490698116e-17       1.871588658443e-10       1.904171210344e-11      -2.729520421746e-16 
   29       1.442652011831e-10       2.768878443746e-15       2.599552913053e-13       4.009620150078e-17       1.752247347986e-10       1.790704956726e-11      -4.092946092514e-15 
   30       1.465052542764e-10       3.123308381621e-15       2.671403787030e-13       4.289208216835e-17       1.643825414765e-10       1.687263359452e-11      -9.617472025144e-15 
   31       1.487781208882e-10       3.507563134364e-15       2.736195621806e-13       4.578265543539e-17       1.544122152546e-10       1.593120801612e-11      -1.538630027800e-14 
   32       1.510866400052e-10       3.919520051488e-15       2.789992776296e-13       4.876809127680e-17       1.452628784286e-10       1.507323793259e-11      -2.052426585440e-14 
   33       1.534237623373e-10       4.355514246904e-15       2.828742603395e-13       5.184861609370e-17       1.368703933755e-10       1.428040281847e-11      -2.421522898191e-14 
