# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.640871433415e-10       7.377828924748e-15       8.463848043020e-13       1.184395925719e-18       1.000104090564e-08       4.287532538553e-10      -2.525049873262e-12 
    3       2.509836075311e-10       1.251163248124e-14       1.044654024132e-12       2.369254702608e-18       6.289627644549e-09       3.246812532995e-10      -2.224406926262e-12 
    4       2.360838517011e-10       1.462434054542e-14       1.083502751957e-12       3.949770593978e-18       4.456519214358e-09       2.564799681460e-10      -1.777072655248e-12 
    5       2.225814123995e-10       1.354293969625e-14       1.024368797077e-12       5.926517361169e-18       3.383461237171e-09       2.090352089185e-10      -1.321477344686e-12 
    6       2.109841028797e-10       1.047463203249e-14       9.112271766263e-13       8.300176313456e-18       2.684775534020e-09       1.743576452902e-10      -9.056349510354e-13 
    7       2.011489045183e-10       6.972552750716e-15       7.758845721894e-13       1.107151448430e-17       2.198192174555e-09       1.480284366564e-10      -5.541143478466e-13 
    8       1.928164146833e-10       4.150758433851e-15       6.390458638425e-13       1.424136043520e-17       1.842119543257e-09       1.274859445060e-10      -2.779706689528e-13 
    9       1.857208544337e-10       2.421349956680e-15       5.139415754580e-13       1.781057863669e-17       1.571308163461e-09       1.111254237271e-10      -7.894996432370e-14 
   10       1.796376642906e-10       1.633693986473e-15       4.085377699074e-13       2.178004342804e-17       1.359181638946e-09       9.788078311283e-11       4.830696775704e-14 
   11       1.744255039296e-10       1.389951508652e-15       3.266671241638e-13       2.615061356839e-17       1.110610413248e-09       8.607566908731e-11       1.137095439397e-13 
   12       1.699291474027e-10       1.326303158013e-15       2.688803659643e-13       3.092310836216e-17       9.786323958464e-10       7.679896821455e-11       1.317348505229e-13 
   13       1.660065504515e-10       1.250306605132e-15       2.332774262520e-13       3.609828627160e-17       8.696473473427e-10       6.917532993884e-11       1.165513036168e-13 
   14       1.625599749698e-10       1.134970189386e-15       2.164427681169e-13       4.167682682213e-17       7.784415724021e-10       6.247589605888e-11       8.109267382583e-14 
   15       1.595776296492e-10       1.035763908633e-15       2.142383922202e-13       4.765931646634e-17       7.012349022585e-10       5.685961156680e-11       3.778213450711e-14 
   16       1.569785384859e-10       1.006150888154e-15       2.222790086724e-13       5.404623890584e-17       6.352251871752e-10       5.206799161835e-11      -4.198424554052e-15 
   17       1.546788289001e-10       1.056124007118e-15       2.366170087188e-13       6.083797018277e-17       5.782892209967e-10       4.789374992446e-11      -3.849404198501e-14 
   18       1.526743845929e-10       1.154268157301e-15       2.541397861232e-13       6.803477632257e-17       5.285915295264e-10       4.414809379648e-11      -6.161999317186e-14 
