# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.498983655890e-10       7.322047179769e-15       4.830465668316e-13       2.799192175185e-19       8.967055250533e-09       4.914361805256e-10      -2.515820733151e-12 
    3       1.414590940340e-10       1.240652697435e-14       6.086407895967e-13       5.600865399043e-19       5.516155320711e-09       3.511548288831e-10      -2.214280773545e-12 
    4       1.331497750995e-10       1.449316736169e-14       6.305202325786e-13       9.340204662183e-19       3.840768197539e-09       2.678548480164e-10      -1.767416490557e-12 
    5       1.266129892782e-10       1.341073249561e-14       5.913810663708e-13       1.402028622428e-18       2.871314497203e-09       2.129218485690e-10      -1.312750546635e-12 
    6       1.218560873514e-10       1.035637464499e-14       5.212588797563e-13       1.964476353898e-18       2.246137918324e-09       1.741358020283e-10      -8.978767365027e-13 
    7       1.185789809606e-10       6.872852646698e-15       4.406052126956e-13       2.621775052844e-18       1.814587417130e-09       1.454551489286e-10      -5.470920018080e-13 
    8       1.164634387862e-10       4.069544423795e-15       3.617598007669e-13       3.374369210930e-18       1.501518411045e-09       1.235092115251e-10      -2.712969207139e-13 
    9       1.152600293160e-10       2.358303418357e-15       2.920957649759e-13       4.222722702546e-18       1.265553367221e-09       1.062625369380e-10      -7.219682682509e-14 
   10       1.147513528759e-10       1.588317234357e-15       2.357983726687e-13       5.167304832451e-18       1.082413335152e-09       9.244998593542e-11       5.550795577061e-14 
   11       1.148000605006e-10       1.358637683059e-15       1.946193677921e-13       6.208576688034e-18       9.133479107959e-10       8.151305592808e-11       1.214501102719e-13 
   12       1.152940851872e-10       1.299921600007e-15       1.683297260444e-13       7.346978321209e-18       7.986996459840e-10       7.211778125706e-11       1.402382235354e-13 
   13       1.161135767795e-10       1.214888436045e-15       1.551756155649e-13       8.582917248492e-18       7.045171859374e-10       6.443311229373e-11       1.257380076928e-13 
