# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.575497509378e-10       7.383325212052e-15       8.330946030830e-13       1.232315850555e-18       1.005234241026e-08       4.326707105213e-10      -2.526117814096e-12 
    3       2.465907732774e-10       1.252133264657e-14       1.034789165579e-12       2.465102655984e-18       6.326578470667e-09       3.264419907056e-10      -2.225535092761e-12 
    4       2.327756752996e-10       1.463607773673e-14       1.076485611842e-12       4.109534946579e-18       4.485446514066e-09       2.575361088317e-10      -1.778150990165e-12 
    5       2.199412193482e-10       1.355436450030e-14       1.019502141866e-12       6.166196616819e-18       3.407250844409e-09       2.097718302626e-10      -1.322473952032e-12 
    6       2.088007212204e-10       1.048419647727e-14       9.078526537222e-13       8.635781085351e-18       2.705002095901e-09       1.749134726880e-10      -9.065480524135e-13 
    7       1.993004936689e-10       6.979678433677e-15       7.734312190161e-13       1.151906913106e-17       2.215785776975e-09       1.484683044878e-10      -5.549602957961e-13 
    8       1.912266007839e-10       4.155492292595e-15       6.370794385994e-13       1.481690431826e-17       1.857659077014e-09       1.278478192926e-10      -2.787759076692e-13 
    9       1.843384274201e-10       2.423994039795e-15       5.121793315611e-13       1.853016697479e-17       1.585171000260e-09       1.114324466337e-10      -7.974392571946e-14 
   10       1.784263507150e-10       1.634650459241e-15       4.068386830178e-13       2.265974773935e-17       1.371658087948e-09       9.814576498583e-11       4.749808156365e-14 
   11       1.733588486531e-10       1.389769307526e-15       3.250038293925e-13       2.720652170639e-17       1.119822115343e-09       8.626137399613e-11       1.128757828705e-13 
   12       1.689868022165e-10       1.325761239178e-15       2.673026697988e-13       3.217132416589e-17       9.870020367779e-10       7.695827583646e-11       1.308563120412e-13 
   13       1.651729579939e-10       1.250376301500e-15       2.318747707974e-13       3.755492886505e-17       8.772994518311e-10       6.931140550542e-11       1.156286958452e-13 
   14       1.618227540270e-10       1.136625405969e-15       2.153090893260e-13       4.335802960989e-17       7.854752972838e-10       6.259324495805e-11       8.013418412128e-14 
   15       1.589267638789e-10       1.039728304804e-15       2.134448472222e-13       4.958122588321e-17       7.077305035295e-10       5.696061573646e-11       3.680409332339e-14 
   16       1.564061201863e-10       1.012708319777e-15       2.218576494295e-13       5.622501298599e-17       6.412485145701e-10       5.215474743562e-11      -5.175216549029e-15 
   17       1.541785666665e-10       1.065080902523e-15       2.365547135739e-13       6.328977701956e-17       5.838949672177e-10       4.796735153873e-11      -3.944734788002e-14 
   18       1.522412231199e-10       1.165066431146e-15       2.543799388578e-13       7.077579245861e-17       5.338237039399e-10       4.420986905868e-11      -6.252943318863e-14 
   19       1.506127221833e-10       1.281358788468e-15       2.733893744795e-13       7.868323877784e-17       4.903643531026e-10       4.086484094566e-11      -7.364594923226e-14 
   20       1.492028904054e-10       1.384747945956e-15       2.917053673616e-13       8.701218397499e-17       4.518746530953e-10       3.789124428836e-11      -7.377619732846e-14 
   21       1.480278976721e-10       1.483423723632e-15       3.087828006510e-13       9.576263266281e-17       4.178024094725e-10       3.524659778024e-11      -6.523977499389e-14 
   22       1.470755150065e-10       1.601197751183e-15       3.245806837057e-13       1.049345064705e-16       3.873932135964e-10       3.284538247380e-11      -5.159198061927e-14 
   23       1.463369292790e-10       1.758847974627e-15       3.393028224335e-13       1.145277012984e-16       3.602654756721e-10       3.065832306617e-11      -3.593819519158e-14 
   24       1.457672719567e-10       1.974589994420e-15       3.533176208219e-13       1.245420676057e-16       3.358237026296e-10       2.865370158349e-11      -2.150537914595e-14 
   25       1.453830614295e-10       2.247770149170e-15       3.670346729789e-13       1.349774771530e-16       3.138070877994e-10       2.684223164001e-11      -1.016322243977e-14 
   26       1.451868370200e-10       2.570102536624e-15       3.808625330524e-13       1.458337990370e-16       2.938440429599e-10       2.522531829029e-11      -3.213207021270e-15 
   27       1.451576460652e-10       2.935604921135e-15       3.948370628746e-13       1.571109580094e-16       2.757151761321e-10       2.376600115627e-11      -7.534563623819e-16 
   28       1.452518842556e-10       3.338781356737e-15       4.088180308455e-13       1.688089188957e-16       2.591273665588e-10       2.240827204902e-11      -2.260210638807e-15 
   29       1.454826642592e-10       3.779630311647e-15       4.224912112590e-13       1.809277534626e-16       2.440093556673e-10       2.115001820647e-11      -6.810091763219e-15 
   30       1.458609076393e-10       4.259702277698e-15       4.354084029621e-13       1.934676021493e-16       2.302122116539e-10       1.999688701327e-11      -1.303776823113e-14 
